date,water_m3_s
1950-01-01,135.551395
1950-01-02,135.551395
1950-01-03,135.551395
1950-01-04,135.551395
1950-01-05,135.551395
1950-01-06,135.551395
1950-01-07,135.551395
1950-01-08,135.551395
1950-01-09,135.551395
1950-01-10,135.551395
1950-01-11,135.551395
1950-01-12,135.551395
1950-01-13,135.551395
1950-01-14,135.551395
1950-01-15,135.551395
1950-01-16,137.138302
1950-01-17,138.717615
1950-01-18,140.286416
1950-01-19,141.841783
1950-01-20,143.380798
1950-01-21,144.900540
1950-01-22,146.398090
1950-01-23,147.870528
1950-01-24,149.314935
1950-01-25,150.728391
1950-01-26,152.107975
1950-01-27,153.450769
1950-01-28,154.753853
1950-01-29,156.014306
1950-01-30,157.229210
1950-01-31,158.395644
1950-02-01,159.510689
1950-02-02,160.571425
1950-02-03,161.574932
1950-02-04,162.518291
1950-02-05,163.398581
1950-02-06,164.212884
1950-02-07,164.958279
1950-02-08,165.631847
1950-02-09,166.230668
1950-02-10,166.751822
1950-02-11,167.192390
1950-02-12,167.549452
1950-02-13,167.820088
1950-02-14,168.001378
1950-02-15,168.090403
1950-02-16,168.227877
1950-02-17,168.550220
1950-02-18,169.048051
1950-02-19,169.711957
1950-02-20,170.532504
1950-02-21,171.500236
1950-02-22,172.605686
1950-02-23,173.839376
1950-02-24,175.191820
1950-02-25,176.653533
1950-02-26,178.215028
1950-02-27,179.866822
1950-02-28,181.599438
1950-03-01,183.403406
1950-03-02,185.269266
1950-03-03,187.187568
1950-03-04,189.148875
1950-03-05,191.143760
1950-03-06,193.162812
1950-03-07,195.196628
1950-03-08,197.235821
1950-03-09,199.271012
1950-03-10,201.292833
1950-03-11,203.291924
1950-03-12,205.258932
1950-03-13,207.184506
1950-03-14,209.059299
1950-03-15,210.873959
1950-03-16,212.834437
1950-03-17,215.143522
1950-03-18,217.786697
1950-03-19,220.748869
1950-03-20,224.014344
1950-03-21,227.566812
1950-03-22,231.389323
1950-03-23,235.464274
1950-03-24,239.773380
1950-03-25,244.297664
1950-03-26,249.017427
1950-03-27,253.912233
1950-03-28,258.960889
1950-03-29,264.141420
1950-03-30,269.431050
1950-03-31,274.806183
1950-04-01,280.242375
1950-04-02,285.714320
1950-04-03,291.195824
1950-04-04,296.659782
1950-04-05,302.078159
1950-04-06,307.421965
1950-04-07,312.661233
1950-04-08,317.764998
1950-04-09,322.701269
1950-04-10,327.437013
1950-04-11,331.938125
1950-04-12,336.169408
1950-04-13,340.094550
1950-04-14,343.676096
1950-04-15,346.875427
1950-04-16,349.819219
1950-04-17,352.660852
1950-04-18,355.400972
1950-04-19,358.040382
1950-04-20,360.580073
1950-04-21,363.021269
1950-04-22,365.365449
1950-04-23,367.614388
1950-04-24,369.770177
1950-04-25,371.835254
1950-04-26,373.812426
1950-04-27,375.704892
1950-04-28,377.516261
1950-04-29,379.250572
1950-04-30,380.912304
1950-05-01,382.506394
1950-05-02,384.038246
1950-05-03,385.513738
1950-05-04,386.939229
1950-05-05,388.321565
1950-05-06,389.668076
1950-05-07,390.986579
1950-05-08,392.285377
1950-05-09,393.573249
1950-05-10,394.859447
1950-05-11,396.153682
1950-05-12,397.466120
1950-05-13,398.807359
1950-05-14,400.188421
1950-05-15,401.620729
1950-05-16,403.133139
1950-05-17,404.739104
1950-05-18,406.427177
1950-05-19,408.185827
1950-05-20,410.003426
1950-05-21,411.868233
1950-05-22,413.768387
1950-05-23,415.691891
1950-05-24,417.626614
1950-05-25,419.560274
1950-05-26,421.480443
1950-05-27,423.374542
1950-05-28,425.229842
1950-05-29,427.033462
1950-05-30,428.772379
1950-05-31,430.433430
1950-06-01,432.003320
1950-06-02,433.468631
1950-06-03,434.815835
1950-06-04,436.031307
1950-06-05,437.101341
1950-06-06,438.012162
1950-06-07,438.749953
1950-06-08,439.300869
1950-06-09,439.651066
1950-06-10,439.786718
1950-06-11,439.694051
1950-06-12,439.359368
1950-06-13,438.769079
1950-06-14,437.909734
1950-06-15,436.768060
1950-06-16,434.886669
1950-06-17,431.861401
1950-06-18,427.759990
1950-06-19,422.651690
1950-06-20,416.607453
1950-06-21,409.700090
1950-06-22,402.004398
1950-06-23,393.597263
1950-06-24,384.557741
1950-06-25,374.967112
1950-06-26,364.908906
1950-06-27,354.468908
1950-06-28,343.735132
1950-06-29,332.797774
1950-06-30,321.749139
1950-07-01,310.683541
1950-07-02,299.697176
1950-07-03,288.887972
1950-07-04,278.355417
1950-07-05,268.200351
1950-07-06,258.524744
1950-07-07,249.431443
1950-07-08,241.023888
1950-07-09,233.405819
1950-07-10,226.680936
1950-07-11,220.952553
1950-07-12,216.323212
1950-07-13,212.894281
1950-07-14,210.765521
1950-07-15,210.034631
1950-07-16,210.200963
1950-07-17,210.685746
1950-07-18,211.467482
1950-07-19,212.524458
1950-07-20,213.834791
1950-07-21,215.376468
1950-07-22,217.127379
1950-07-23,219.065358
1950-07-24,221.168211
1950-07-25,223.413753
1950-07-26,225.779831
1950-07-27,228.244361
1950-07-28,230.785343
1950-07-29,233.380893
1950-07-30,236.009261
1950-07-31,238.648854
1950-08-01,241.278249
1950-08-02,243.876214
1950-08-03,246.421721
1950-08-04,248.893956
1950-08-05,251.272333
1950-08-06,253.536497
1950-08-07,255.666338
1950-08-08,257.641990
1950-08-09,259.443832
1950-08-10,261.052497
1950-08-11,262.448862
1950-08-12,263.614049
1950-08-13,264.529420
1950-08-14,265.176568
1950-08-15,265.537311
1950-08-16,265.682825
1950-08-17,265.700902
1950-08-18,265.598501
1950-08-19,265.382656
1950-08-20,265.060459
1950-08-21,264.639042
1950-08-22,264.125570
1950-08-23,263.527226
1950-08-24,262.851196
1950-08-25,262.104664
1950-08-26,261.294802
1950-08-27,260.428758
1950-08-28,259.513650
1950-08-29,258.556561
1950-08-30,257.564532
1950-08-31,256.544557
1950-09-01,255.503582
1950-09-02,254.448496
1950-09-03,253.386137
1950-09-04,252.323285
1950-09-05,251.266667
1950-09-06,250.222952
1950-09-07,249.198759
1950-09-08,248.200657
1950-09-09,247.235169
1950-09-10,246.308778
1950-09-11,245.427930
1950-09-12,244.599044
1950-09-13,243.828519
1950-09-14,243.122743
1950-09-15,242.488098
1950-09-16,241.937764
1950-09-17,241.476518
1950-09-18,241.098200
1950-09-19,240.796716
1950-09-20,240.566034
1950-09-21,240.400172
1950-09-22,240.293193
1950-09-23,240.239201
1950-09-24,240.232333
1950-09-25,240.266756
1950-09-26,240.336662
1950-09-27,240.436260
1950-09-28,240.559780
1950-09-29,240.701464
1950-09-30,240.855564
1950-10-01,241.016342
1950-10-02,241.178069
1950-10-03,241.335019
1950-10-04,241.481475
1950-10-05,241.611725
1950-10-06,241.720061
1950-10-07,241.800784
1950-10-08,241.848203
1950-10-09,241.856636
1950-10-10,241.820415
1950-10-11,241.733886
1950-10-12,241.591415
1950-10-13,241.387390
1950-10-14,241.116225
1950-10-15,240.772368
1950-10-16,240.371109
1950-10-17,239.928849
1950-10-18,239.441867
1950-10-19,238.906676
1950-10-20,238.320069
1950-10-21,237.679167
1950-10-22,236.981461
1950-10-23,236.224850
