date,water_m3_s
1950-01-01,3.420237
1950-01-02,3.420237
1950-01-03,3.420237
1950-01-04,3.420237
1950-01-05,3.420237
1950-01-06,3.420237
1950-01-07,3.420237
1950-01-08,3.420237
1950-01-09,3.420237
1950-01-10,3.420237
1950-01-11,3.420237
1950-01-12,3.420237
1950-01-13,3.420237
1950-01-14,3.420237
1950-01-15,3.420237
1950-01-16,3.452742
1950-01-17,3.483872
1950-01-18,3.513650
1950-01-19,3.542095
1950-01-20,3.569230
1950-01-21,3.595075
1950-01-22,3.619650
1950-01-23,3.642976
1950-01-24,3.665076
1950-01-25,3.685968
1950-01-26,3.705675
1950-01-27,3.724217
1950-01-28,3.741615
1950-01-29,3.757889
1950-01-30,3.773062
1950-01-31,3.787153
1950-02-01,3.800184
1950-02-02,3.812175
1950-02-03,3.823148
1950-02-04,3.833122
1950-02-05,3.842120
1950-02-06,3.850162
1950-02-07,3.857268
1950-02-08,3.863461
1950-02-09,3.868759
1950-02-10,3.873186
1950-02-11,3.876761
1950-02-12,3.879505
1950-02-13,3.881439
1950-02-14,3.882584
1950-02-15,3.882961
1950-02-16,3.884045
1950-02-17,3.887207
1950-02-18,3.892302
1950-02-19,3.899171
1950-02-20,3.907649
1950-02-21,3.917560
1950-02-22,3.928725
1950-02-23,3.940961
1950-02-24,3.954081
1950-02-25,3.967903
1950-02-26,3.982242
1950-02-27,3.996918
1950-02-28,4.011757
1950-03-01,4.026587
1950-03-02,4.041247
1950-03-03,4.055580
1950-03-04,4.069440
1950-03-05,4.082690
1950-03-06,4.095203
1950-03-07,4.106861
1950-03-08,4.117559
1950-03-09,4.127201
1950-03-10,4.135706
1950-03-11,4.143000
1950-03-12,4.149023
1950-03-13,4.153724
1950-03-14,4.157065
1950-03-15,4.159017
1950-03-16,4.158492
1950-03-17,4.154512
1950-03-18,4.147223
1950-03-19,4.136777
1950-03-20,4.123332
1950-03-21,4.107053
1950-03-22,4.088112
1950-03-23,4.066685
1950-03-24,4.042958
1950-03-25,4.017122
1950-03-26,3.989379
1950-03-27,3.959934
1950-03-28,3.929002
1950-03-29,3.896807
1950-03-30,3.863580
1950-03-31,3.829561
1950-04-01,3.794998
1950-04-02,3.760148
1950-04-03,3.725279
1950-04-04,3.690666
1950-04-05,3.656594
1950-04-06,3.623360
1950-04-07,3.591268
1950-04-08,3.560635
1950-04-09,3.531787
1950-04-10,3.505061
1950-04-11,3.480806
1950-04-12,3.459381
1950-04-13,3.441157
1950-04-14,3.426516
1950-04-15,3.415855
1950-04-16,3.408044
1950-04-17,3.401625
