date,water_m3_s
1950-01-01,453.453491
1950-01-02,453.453491
1950-01-03,453.453491
1950-01-04,453.453491
1950-01-05,453.453491
1950-01-06,453.453491
1950-01-07,453.453491
1950-01-08,453.453491
1950-01-09,453.453491
1950-01-10,453.453491
1950-01-11,453.453491
1950-01-12,453.453491
1950-01-13,453.453491
1950-01-14,453.453491
1950-01-15,453.453491
1950-01-16,455.464638
1950-01-17,457.624897
1950-01-18,459.930583
1950-01-19,462.378015
1950-01-20,464.963510
1950-01-21,467.683385
1950-01-22,470.533957
1950-01-23,473.511544
1950-01-24,476.612462
1950-01-25,479.833030
1950-01-26,483.169565
1950-01-27,486.618383
1950-01-28,490.175803
1950-01-29,493.838142
1950-01-30,497.601716
1950-01-31,501.462843
1950-02-01,505.417841
1950-02-02,509.463026
1950-02-03,513.594717
1950-02-04,517.809230
1950-02-05,522.102883
1950-02-06,526.471993
1950-02-07,530.912878
1950-02-08,535.421854
1950-02-09,539.995239
1950-02-10,544.629350
1950-02-11,549.320505
1950-02-12,554.065021
1950-02-13,558.859215
1950-02-14,563.699405
1950-02-15,568.581908
1950-02-16,573.537291
1950-02-17,578.593845
1950-02-18,583.744427
1950-02-19,588.981889
1950-02-20,594.299141
1950-02-21,599.689211
1950-02-22,605.145301
1950-02-23,610.660839
1950-02-24,616.229529
1950-02-25,621.845395
1950-02-26,627.502825
1950-02-27,633.196609
1950-02-28,638.921973
1950-03-01,644.674614
1950-03-02,650.450723
1950-03-03,656.247014
1950-03-04,662.060743
1950-03-05,667.889728
1950-03-06,673.732358
1950-03-07,679.587611
1950-03-08,685.455056
1950-03-09,691.334857
1950-03-10,697.227776
1950-03-11,703.135167
1950-03-12,709.058971
1950-03-13,715.001705
1950-03-14,720.966447
1950-03-15,726.956822
1950-03-16,733.220571
1950-03-17,739.968403
1950-03-18,747.149069
1950-03-19,754.711688
1950-03-20,762.605741
1950-03-21,770.781058
1950-03-22,779.187813
1950-03-23,787.776516
1950-03-24,796.498008
1950-03-25,805.303455
1950-03-26,814.144342
1950-03-27,822.972474
1950-03-28,831.739965
1950-03-29,840.399242
1950-03-30,848.903041
1950-03-31,857.204405
1950-04-01,865.256686
1950-04-02,873.013545
1950-04-03,880.428951
1950-04-04,887.457185
1950-04-05,894.052845
1950-04-06,900.170843
1950-04-07,905.766416
1950-04-08,910.795127
1950-04-09,915.212872
1950-04-10,918.975886
1950-04-11,922.040750
1950-04-12,924.364400
1950-04-13,925.904136
1950-04-14,926.617628
1950-04-15,926.462930
1950-04-16,925.749439
1950-04-17,924.826775
1950-04-18,923.713675
1950-04-19,922.428928
1950-04-20,920.991364
1950-04-21,919.419834
1950-04-22,917.733196
1950-04-23,915.950304
1950-04-24,914.090000
1950-04-25,912.171099
1950-04-26,910.212385
1950-04-27,908.232607
1950-04-28,906.250470
1950-04-29,904.284638
1950-04-30,902.353729
1950-05-01,900.476318
1950-05-02,898.670939
1950-05-03,896.956089
1950-05-04,895.350234
1950-05-05,893.871818
1950-05-06,892.539269
1950-05-07,891.371012
1950-05-08,890.385480
1950-05-09,889.601131
1950-05-10,889.036461
1950-05-11,888.710020
1950-05-12,888.640436
1950-05-13,888.846433
1950-05-14,889.346850
1950-05-15,890.160673
1950-05-16,891.845357
1950-05-17,894.892432
1950-05-18,899.223438
1950-05-19,904.761283
1950-05-20,911.429773
1950-05-21,919.153178
1950-05-22,927.855829
1950-05-23,937.461750
1950-05-24,947.894326
1950-05-25,959.076004
1950-05-26,970.928029
1950-05-27,983.370212
1950-05-28,996.320736
1950-05-29,1009.695992
1950-05-30,1023.410454
1950-05-31,1037.376584
1950-06-01,1051.504776
1950-06-02,1065.703324
1950-06-03,1079.878443
1950-06-04,1093.934301
1950-06-05,1107.773106
1950-06-06,1121.295214
1950-06-07,1134.399276
