date,water_m3_s
1950-01-01,155.422078
1950-01-02,156.164884
1950-01-03,156.885474
1950-01-04,157.583063
1950-01-05,158.256868
1950-01-06,158.906105
1950-01-07,159.529988
1950-01-08,160.127735
1950-01-09,160.698562
1950-01-10,161.241683
1950-01-11,161.756315
1950-01-12,162.241674
1950-01-13,162.696976
1950-01-14,163.121437
1950-01-15,163.514272
1950-01-16,165.170371
1950-01-17,166.828363
1950-01-18,168.487405
1950-01-19,170.146627
1950-01-20,171.805137
1950-01-21,173.462019
1950-01-22,175.116331
1950-01-23,176.767111
1950-01-24,178.413370
1950-01-25,180.054098
1950-01-26,181.688261
1950-01-27,183.314801
1950-01-28,184.932640
1950-01-29,186.540674
1950-01-30,188.137779
1950-01-31,189.722808
1950-02-01,191.294590
1950-02-02,192.851934
1950-02-03,194.393626
1950-02-04,195.918431
1950-02-05,197.425093
1950-02-06,198.912332
1950-02-07,200.378848
1950-02-08,201.823322
1950-02-09,203.244410
1950-02-10,204.640751
1950-02-11,206.010961
1950-02-12,207.353636
1950-02-13,208.667352
1950-02-14,209.950664
1950-02-15,211.202108
1950-02-16,212.404670
1950-02-17,213.542416
1950-02-18,214.615527
1950-02-19,215.624234
1950-02-20,216.568820
1950-02-21,217.449628
1950-02-22,218.267059
1950-02-23,219.021578
1950-02-24,219.713716
1950-02-25,220.344071
1950-02-26,220.913313
1950-02-27,221.422182
1950-02-28,221.871491
1950-03-01,222.262132
1950-03-02,222.595069
1950-03-03,222.871346
1950-03-04,223.092086
1950-03-05,223.258487
1950-03-06,223.371830
1950-03-07,223.433474
1950-03-08,223.444857
1950-03-09,223.407495
1950-03-10,223.322984
1950-03-11,223.192996
1950-03-12,223.019281
1950-03-13,222.803664
1950-03-14,222.548042
1950-03-15,222.254388
1950-03-16,221.780566
1950-03-17,220.993089
1950-03-18,219.907157
1950-03-19,218.538312
1950-03-20,216.902523
1950-03-21,215.016256
1950-03-22,212.896541
1950-03-23,210.561027
1950-03-24,208.028028
1950-03-25,205.316560
1950-03-26,202.446372
1950-03-27,199.437960
1950-03-28,196.312580
1950-03-29,193.092248
1950-03-30,189.799733
1950-03-31,186.458539
1950-04-01,183.092875
1950-04-02,179.727626
1950-04-03,176.388302
1950-04-04,173.100990
1950-04-05,169.892284
1950-04-06,166.789221
1950-04-07,163.819191
1950-04-08,161.009856
1950-04-09,158.389044
1950-04-10,155.984643
1950-04-11,153.824483
1950-04-12,151.936209
1950-04-13,150.347147
1950-04-14,149.084157
1950-04-15,148.173479
1950-04-16,147.434898
1950-04-17,146.673167
1950-04-18,145.891377
1950-04-19,145.092557
1950-04-20,144.279675
1950-04-21,143.455639
1950-04-22,142.623297
1950-04-23,141.785442
1950-04-24,140.944806
1950-04-25,140.104069
1950-04-26,139.265855
1950-04-27,138.432735
1950-04-28,137.607233
1950-04-29,136.791821
1950-04-30,135.988927
1950-05-01,135.200934
1950-05-02,134.430186
1950-05-03,133.678986
1950-05-04,132.949603
1950-05-05,132.244273
1950-05-06,131.565203
1950-05-07,130.914575
1950-05-08,130.294548
1950-05-09,129.707261
1950-05-10,129.154842
1950-05-11,128.639405
1950-05-12,128.163059
1950-05-13,127.727913
1950-05-14,127.336077
1950-05-15,126.989668
1950-05-16,126.882898
1950-05-17,127.190135
1950-05-18,127.883876
1950-05-19,128.936808
1950-05-20,130.321817
1950-05-21,132.012006
1950-05-22,133.980702
1950-05-23,136.201470
