edge_id,from_node_id,to_node_id,flow_share,travel_time_months,muskingum_k,muskingum_x
lake_victoria_outlet__white_nile_to_sudd,lake_victoria_outlet,white_nile_to_sudd,1.0,,,
white_nile_to_sudd__sudd,white_nile_to_sudd,sudd,1.0,1.0,1.0,0.2
sudd__malakal,sudd,malakal,1.0,,,
malakal__khartoum,malakal,khartoum,1.0,,,
lake_tana_outlet__blue_nile_to_gerd,lake_tana_outlet,blue_nile_to_gerd,1.0,,,
blue_nile_to_gerd__gerd,blue_nile_to_gerd,gerd,1.0,0.5,0.5,0.2
gerd__blue_nile_to_khartoum,gerd,blue_nile_to_khartoum,1.0,,,
blue_nile_to_khartoum__gezira_irr,blue_nile_to_khartoum,gezira_irr,1.0,1.0,1.0,0.2
gezira_irr__khartoum,gezira_irr,khartoum,1.0,,,
khartoum__khartoum_muni,khartoum,khartoum_muni,1.0,,,
khartoum__atbara_confluence,khartoum,atbara_confluence,1.0,,,
khartoum_muni__atbara_confluence,khartoum_muni,atbara_confluence,1.0,,,
atbara_source__atbara_confluence,atbara_source,atbara_confluence,1.0,,,
atbara_confluence__merowe,atbara_confluence,merowe,1.0,,,
merowe__main_nile_to_aswan,merowe,main_nile_to_aswan,1.0,,,
main_nile_to_aswan__aswan,main_nile_to_aswan,aswan,1.0,1.0,1.0,0.2
aswan__egypt_ag,aswan,egypt_ag,1.0,,,
egypt_ag__cairo_muni,egypt_ag,cairo_muni,1.0,,,
cairo_muni__delta,cairo_muni,delta,1.0,,,
