period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,southwest,0.8799999999999998,0,2792.9999999999995,1720.8000000000002,0,0,0,0,0,0,1072.2,0,0,0,0,1072.2,1072.2,0,0
1,30,60,30,southwest,0.8799999999999998,0,4930.500000000001,2250,0,0,0,0,0,0,2680.4999999999986,0,0,0,0,2680.4999999999986,2680.4999999999986,0,0
2,60,90,30,southwest,0.8799999999999998,0,4930.500000000001,2250,0,0,0,0,0,0,2680.4999999999986,0,0,0,0,2680.4999999999986,2680.4999999999986,0,0
3,90,120,30,southwest,0.8799999999999998,0,4930.500000000001,2250,0,0,0,0,0,0,2680.4999999999986,0,0,0,0,2680.4999999999986,2680.4999999999986,0,0
4,120,150,30,southwest,0.8799999999999998,0,4930.500000000001,2250,0,0,0,0,0,0,2680.4999999999986,0,0,0,0,2680.4999999999986,2680.4999999999986,0,0
5,150,180,30,southwest,0.8799999999999998,0,4930.500000000001,2250,0,0,0,0,0,0,2680.4999999999986,0,0,0,0,2680.4999999999986,2680.4999999999986,0,0
