period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,39439.450000148805,1720.8000000000002,1465.0500000062,3192.4499999938002,10603.124999777632,2731.6999999194,7871.42499985823,3523.145454572312,34228.1000002232,4105.962714666842,4.105962714666842,745.8000000000005,34973.900000223206,34973.900000223206,0.0000000000000017763568394002505,2475.714900514183
1,30,60,30,53225.35000027,2250,4635.15,22.35,10603.124999777632,4128.700000007251,6474.424999770375,5352.645454729733,41098.50000026275,4823.279445245008,4.823279445245008,1113.0000000000005,42211.50000026275,42211.50000026275,0.000000000000004440892098500626,2878.69755468506
2,60,90,30,55801.50000025652,2250,4657.5,0,10603.124999777632,5632.500000000002,4970.624999777626,7800.000000216001,42148.50000025651,5065.876352943564,5.0658763529435635,1113.0000000000005,43261.50000025651,43261.50000025651,0,3024.9872999108147
3,90,120,30,55801.50000025652,2250,4657.5,0,10603.124999777632,5632.500000000002,4970.624999777626,7800.000000216001,42148.50000025651,5065.876352943564,5.0658763529435635,1113.0000000000005,43261.50000025651,43261.50000025651,0,3024.9872999108147
4,120,150,30,55801.50000025652,2250,4657.5,0,10603.124999777632,5632.500000000002,4970.624999777626,7800.000000216001,42148.50000025651,5065.876352943564,5.0658763529435635,1113.0000000000005,43261.50000025651,43261.50000025651,0,3024.9872999108147
5,150,180,30,55801.50000025652,2250,4657.5,0,10603.124999777632,5632.500000000002,4970.624999777626,7800.000000216001,42148.50000025651,5065.876352943564,5.0658763529435635,1113.0000000000005,43261.50000025651,43261.50000025651,0,3024.9872999108147
