date,river_discharge_m3s,quality_flag
2005-01-01,991.841759472915,stub
2005-01-02,1007.6917319985841,stub
2005-01-03,974.7784889029364,stub
2005-01-04,1030.5436931800573,stub
2005-01-05,931.3654030556581,stub
2005-01-06,1034.3171770255021,stub
2005-01-07,951.7998709434261,stub
2005-01-08,915.2154555856055,stub
2005-01-09,1083.5327614061487,stub
2005-01-10,1008.8855516296162,stub
2005-01-11,936.5172900198015,stub
2005-01-12,880.0860919449178,stub
2005-01-13,980.2578423132949,stub
2005-01-14,967.882272131414,stub
2005-01-15,871.4504291144225,stub
2005-01-16,896.7159535532925,stub
2005-01-17,804.6773245891851,stub
2005-01-18,833.3095706433888,stub
2005-01-19,876.2643690435461,stub
2005-01-20,896.4515304675954,stub
2005-01-21,875.5108662654198,stub
2005-01-22,767.9614234204438,stub
2005-01-23,866.3793150425347,stub
2005-01-24,832.9443519687827,stub
2005-01-25,783.8983494570056,stub
2005-01-26,815.907290617174,stub
2005-01-27,812.2905807078552,stub
2005-01-28,832.2123646868534,stub
2005-01-29,749.1514739000608,stub
2005-01-30,765.4737388277579,stub
2005-01-31,742.9196082858238,stub
