date,river_discharge_m3s,quality_flag
2005-01-01,757.5027079734116,stub
2005-01-02,772.0907225312359,stub
2005-01-03,801.4133125201421,stub
2005-01-04,733.6976634426907,stub
2005-01-05,723.143411889171,stub
2005-01-06,763.9171107744767,stub
2005-01-07,752.3179622546459,stub
2005-01-08,727.7810198128639,stub
2005-01-09,692.2809480712127,stub
2005-01-10,702.2318216424247,stub
2005-01-11,749.1926005810109,stub
2005-01-12,676.4434231541161,stub
2005-01-13,727.1912285525364,stub
2005-01-14,675.1865292083086,stub
2005-01-15,660.0572935364519,stub
2005-01-16,707.9943879201253,stub
2005-01-17,646.1588136467282,stub
2005-01-18,670.8891033782094,stub
2005-01-19,646.8155865656148,stub
2005-01-20,696.6834085821185,stub
2005-01-21,726.734628055061,stub
2005-01-22,600.6308307779151,stub
2005-01-23,640.8750394648175,stub
2005-01-24,574.7496399342649,stub
2005-01-25,598.1434440991708,stub
2005-01-26,621.3334250036942,stub
2005-01-27,634.7856281311502,stub
2005-01-28,607.2151135739589,stub
2005-01-29,624.0358426425481,stub
2005-01-30,640.92488703582,stub
2005-01-31,614.5554732845314,stub
