,et0_mm_day
1971-01-01,3.9791465
1971-02-01,4.5001283
1971-03-01,4.7778487
1971-04-01,3.8554072
1971-05-01,3.3961682
1971-06-01,4.3332353
1971-07-01,3.9657428
1971-08-01,3.508918
1971-09-01,3.8509257
1971-10-01,3.9554648
1971-11-01,3.3570156
1971-12-01,3.6068335
1972-01-01,3.491819
1972-02-01,3.7566051
1972-03-01,3.8701072
1972-04-01,3.821507
1972-05-01,3.5585687
1972-06-01,3.5223737
1972-07-01,3.799647
1972-08-01,3.7354827
1972-09-01,4.1098
1972-10-01,3.8502553
1972-11-01,3.2530427
1972-12-01,3.33637
1973-01-01,3.6718698
1973-02-01,4.650943
1973-03-01,4.9811006
1973-04-01,4.2466445
1973-05-01,3.6051943
1973-06-01,4.3379145
1973-07-01,5.016841
1973-08-01,4.019573
1973-09-01,3.568109
1973-10-01,4.149832
1973-11-01,3.5000892
1973-12-01,3.7751272
1974-01-01,4.042141
1974-02-01,4.538588
1974-03-01,4.855551
1974-04-01,4.0851607
1974-05-01,3.7417486
1974-06-01,4.0552244
1974-07-01,4.346661
1974-08-01,4.2783694
1974-09-01,4.396893
1974-10-01,4.1436033
1974-11-01,3.6953688
1974-12-01,3.7762449
1975-01-01,4.0673985
1975-02-01,4.6838226
1975-03-01,4.448764
1975-04-01,3.6519468
1975-05-01,3.9064884
1975-06-01,4.0088744
1975-07-01,4.37963
1975-08-01,3.9872675
1975-09-01,3.5915189
1975-10-01,3.7979558
1975-11-01,3.759522
1975-12-01,3.738761
1976-01-01,3.9202049
1976-02-01,4.2437315
1976-03-01,4.227478
1976-04-01,3.6303253
1976-05-01,3.6088972
1976-06-01,4.197903
1976-07-01,3.5185442
1976-08-01,3.8652942
1976-09-01,4.0522256
1976-10-01,3.939569
1976-11-01,3.8942547
1976-12-01,3.8606524
1977-01-01,4.0002465
1977-02-01,4.1284485
1977-03-01,4.2608232
1977-04-01,3.8150027
1977-05-01,4.0149055
1977-06-01,4.361868
1977-07-01,4.8813148
1977-08-01,4.4625998
1977-09-01,4.3896585
1977-10-01,4.482612
1977-11-01,3.5474672
1977-12-01,3.5709069
1978-01-01,3.9054976
1978-02-01,4.309662
1978-03-01,3.7006476
1978-04-01,4.145507
1978-05-01,4.8975496
1978-06-01,4.843153
1978-07-01,4.8347116
1978-08-01,3.9037988
1978-09-01,4.3600874
1978-10-01,4.3616295
1978-11-01,3.9094946
1978-12-01,3.6355033
1979-01-01,3.928587
1979-02-01,3.863342
1979-03-01,4.289709
1979-04-01,4.042186
1979-05-01,4.3642893
1979-06-01,4.6679864
1979-07-01,4.6753364
1979-08-01,4.374966
1979-09-01,5.1230564
1979-10-01,4.575826
1979-11-01,3.9543362
1979-12-01,4.0931253
1980-01-01,4.294917
1980-02-01,4.6051517
1980-03-01,5.002946
1980-04-01,4.5624676
1980-05-01,3.838256
1980-06-01,4.2281375
1980-07-01,5.281374
1980-08-01,4.7492533
1980-09-01,4.078023
1980-10-01,4.4048505
1980-11-01,3.992453
1980-12-01,3.9815977
1981-01-01,4.4974236
1981-02-01,4.8447847
1981-03-01,4.307747
1981-04-01,3.8951523
1981-05-01,4.457984
1981-06-01,4.7020316
1981-07-01,4.0216594
1981-08-01,3.9365664
1981-09-01,3.943108
1981-10-01,3.918253
1981-11-01,3.9970279
1981-12-01,4.030697
1982-01-01,4.155628
1982-02-01,4.7572403
1982-03-01,4.839823
1982-04-01,4.1404514
1982-05-01,3.5884156
1982-06-01,4.1159244
1982-07-01,4.683517
1982-08-01,4.234761
1982-09-01,4.533928
1982-10-01,4.201725
1982-11-01,3.926076
1982-12-01,3.5478697
1983-01-01,4.4306664
1983-02-01,4.455671
1983-03-01,4.6242995
1983-04-01,4.312318
1983-05-01,4.449308
1983-06-01,4.311331
1983-07-01,4.4826193
1983-08-01,3.6810412
1983-09-01,4.1516423
1983-10-01,3.7487633
1983-11-01,3.878355
1983-12-01,4.098695
1984-01-01,4.126929
1984-02-01,4.8673153
1984-03-01,4.7440605
1984-04-01,4.743926
1984-05-01,4.5107603
1984-06-01,5.2117257
1984-07-01,4.3582544
1984-08-01,4.196778
1984-09-01,4.3852925
1984-10-01,4.140049
1984-11-01,3.8165636
1984-12-01,3.8708522
1985-01-01,4.3413267
1985-02-01,4.0863156
1985-03-01,4.6137276
1985-04-01,3.5230742
1985-05-01,3.993161
1985-06-01,4.6619625
1985-07-01,4.346326
1985-08-01,5.0341187
1985-09-01,3.9004273
1985-10-01,4.3055525
1985-11-01,3.831774
1985-12-01,3.6070719
1986-01-01,4.165657
1986-02-01,4.2952223
1986-03-01,4.2540803
1986-04-01,3.7810504
1986-05-01,4.486598
1986-06-01,4.5128765
1986-07-01,4.3232813
1986-08-01,4.0503664
1986-09-01,4.215859
1986-10-01,3.7207716
1986-11-01,3.5208166
1986-12-01,3.9373488
1987-01-01,4.0429907
1987-02-01,4.253976
1987-03-01,3.923759
1987-04-01,4.205346
1987-05-01,4.1779575
1987-06-01,4.147388
1987-07-01,4.535839
1987-08-01,4.992694
1987-09-01,3.9691255
1987-10-01,4.101947
1987-11-01,3.8698986
1987-12-01,4.1025205
1988-01-01,4.2733774
1988-02-01,4.753746
1988-03-01,4.794918
1988-04-01,4.454311
1988-05-01,4.4235287
1988-06-01,5.2965508
1988-07-01,4.168026
1988-08-01,4.027277
1988-09-01,4.392579
1988-10-01,4.0385647
1988-11-01,3.883712
1988-12-01,4.359126
1989-01-01,4.6194196
1989-02-01,4.137248
1989-03-01,4.5693817
1989-04-01,4.7155323
1989-05-01,4.5075564
1989-06-01,5.526014
1989-07-01,4.764892
1989-08-01,4.288308
1989-09-01,4.4876447
1989-10-01,4.0690823
1989-11-01,4.083566
1989-12-01,3.6538243
1990-01-01,4.0245504
1990-02-01,4.258223
1990-03-01,3.8478076
1990-04-01,3.92586
1990-05-01,4.3297334
1990-06-01,5.0181227
1990-07-01,5.356975
1990-08-01,4.2602644
1990-09-01,4.424229
1990-10-01,4.6362357
1990-11-01,4.1230693
1990-12-01,3.9158912
1991-01-01,4.2161717
1991-02-01,4.4826565
1991-03-01,4.6960564
1991-04-01,4.0547175
1991-05-01,3.5566986
1991-06-01,3.771566
1991-07-01,4.8829093
1991-08-01,3.8712993
1991-09-01,3.9952955
1991-10-01,3.919065
1991-11-01,3.6451743
1991-12-01,3.9751754
1992-01-01,4.3405743
1992-02-01,4.4311285
1992-03-01,5.0607843
1992-04-01,4.2940006
1992-05-01,4.534479
1992-06-01,3.7363098
1992-07-01,4.4884386
1992-08-01,4.5593233
1992-09-01,4.4298396
1992-10-01,3.9004982
1992-11-01,3.9326324
1992-12-01,3.623508
1993-01-01,4.231498
1993-02-01,4.2655616
1993-03-01,4.953407
1993-04-01,4.2567253
1993-05-01,3.8301423
1993-06-01,4.341811
1993-07-01,5.3027496
1993-08-01,4.2268558
1993-09-01,4.5530424
1993-10-01,4.3577476
1993-11-01,3.9399638
1993-12-01,4.1240377
1994-01-01,4.558392
1994-02-01,4.875779
1994-03-01,4.3856425
1994-04-01,4.610561
1994-05-01,4.1512175
1994-06-01,4.1214676
1994-07-01,4.4162126
1994-08-01,4.362419
1994-09-01,4.2657704
1994-10-01,4.1921325
1994-11-01,3.6741197
1994-12-01,3.7390516
1995-01-01,4.521571
1995-02-01,4.621893
1995-03-01,4.6754556
1995-04-01,4.4346375
1995-05-01,5.1211715
1995-06-01,3.8104506
1995-07-01,4.553452
1995-08-01,5.1116796
1995-09-01,4.475534
1995-10-01,4.0451584
1995-11-01,3.8056746
1995-12-01,4.2567477
1996-01-01,4.212007
1996-02-01,4.677534
1996-03-01,4.658997
1996-04-01,4.776396
1996-05-01,4.7743917
1996-06-01,4.6413617
1996-07-01,4.4954495
1996-08-01,4.1508155
1996-09-01,4.233554
1996-10-01,4.172586
1996-11-01,4.103258
1996-12-01,3.7877188
1997-01-01,4.428424
1997-02-01,5.175613
1997-03-01,5.5238085
1997-04-01,4.221715
1997-05-01,4.650284
1997-06-01,4.892908
1997-07-01,4.7241373
1997-08-01,4.700996
1997-09-01,5.0083103
1997-10-01,4.828766
1997-11-01,3.9088578
1997-12-01,3.54987
1998-01-01,3.851697
1998-02-01,4.2531195
1998-03-01,5.1811337
1998-04-01,5.1993504
1998-05-01,4.645415
1998-06-01,5.355604
1998-07-01,5.1765366
1998-08-01,4.730195
1998-09-01,4.6622715
1998-10-01,4.4239016
1998-11-01,4.2729006
1998-12-01,4.512176
1999-01-01,4.454516
1999-02-01,5.8093295
1999-03-01,4.5077057
1999-04-01,4.692912
1999-05-01,4.423298
1999-06-01,5.325526
1999-07-01,5.137123
1999-08-01,4.28088
1999-09-01,4.6666675
1999-10-01,4.450623
1999-11-01,4.1945724
1999-12-01,3.8344712
2000-01-01,4.37583
2000-02-01,5.020894
2000-03-01,5.1051455
2000-04-01,4.4648943
2000-05-01,4.4744387
2000-06-01,5.6048927
2000-07-01,4.8927364
2000-08-01,4.302159
2000-09-01,4.9839244
2000-10-01,4.4828987
2000-11-01,4.0372424
2000-12-01,3.8629918
2001-01-01,4.176505
2001-02-01,4.4595523
2001-03-01,4.7523007
2001-04-01,5.010389
2001-05-01,4.9212203
2001-06-01,4.716791
2001-07-01,5.0980897
2001-08-01,4.155546
2001-09-01,3.893286
2001-10-01,4.393585
2001-11-01,3.8507133
2001-12-01,4.2208657
2002-01-01,4.2344036
