,et0_mm_day
1971-12-01,6.4670744
1972-01-01,6.911658
1972-02-01,8.112974
1972-03-01,10.078356
1972-04-01,11.490442
1972-05-01,13.17487
1972-06-01,12.304447
1972-07-01,10.288641
1972-08-01,11.181429
1972-09-01,11.366465
1972-10-01,10.176633
1972-11-01,7.790804
1972-12-01,6.580718
1973-01-01,7.023491
1973-02-01,8.861669
1973-03-01,10.566279
1973-04-01,13.179228
1973-05-01,13.302117
1973-06-01,12.609281
1973-07-01,10.503433
1973-08-01,11.12745
1973-09-01,12.242157
1973-10-01,10.669913
1973-11-01,7.8646464
1973-12-01,6.9823785
1974-01-01,6.5868497
1974-02-01,8.702345
1974-03-01,9.673238
1974-04-01,12.176864
1974-05-01,13.364784
1974-06-01,12.766488
1974-07-01,9.249948
1974-08-01,10.753229
1974-09-01,11.18882
1974-10-01,10.448076
1974-11-01,8.343831
1974-12-01,6.4768567
1975-01-01,6.745309
1975-02-01,8.817323
1975-03-01,10.679729
1975-04-01,11.350848
1975-05-01,13.107761
1975-06-01,11.182152
1975-07-01,11.258311
1975-08-01,9.837233
1975-09-01,11.684727
1975-10-01,10.670304
1975-11-01,8.65591
1975-12-01,6.367147
1976-01-01,7.0554094
1976-02-01,8.674242
1976-03-01,10.4883795
1976-04-01,12.158476
1976-05-01,12.712084
1976-06-01,12.362547
1976-07-01,10.010436
1976-08-01,11.206568
1976-09-01,11.173662
1976-10-01,10.674108
1976-11-01,8.015737
1976-12-01,6.79867
1977-01-01,6.591201
1977-02-01,8.507311
1977-03-01,11.046074
1977-04-01,11.238649
1977-05-01,12.221471
1977-06-01,11.4452095
1977-07-01,10.840758
1977-08-01,10.750718
1977-09-01,11.344537
1977-10-01,10.4600115
1977-11-01,7.8383684
1977-12-01,6.588191
1978-01-01,6.952867
1978-02-01,8.481845
1978-03-01,10.15506
1978-04-01,12.7958355
1978-05-01,12.649737
1978-06-01,11.707142
1978-07-01,10.919124
1978-08-01,10.101743
1978-09-01,12.510896
1978-10-01,10.544993
1978-11-01,8.102972
1978-12-01,6.9294124
1979-01-01,7.03232
1979-02-01,8.686617
1979-03-01,10.807633
1979-04-01,13.1284895
1979-05-01,12.306549
1979-06-01,12.327202
1979-07-01,10.881834
1979-08-01,9.525731
1979-09-01,11.502907
1979-10-01,10.708235
1979-11-01,8.99079
1979-12-01,6.418839
1980-01-01,7.361129
1980-02-01,8.094959
1980-03-01,10.441653
1980-04-01,12.649737
1980-05-01,12.997955
1980-06-01,11.614971
1980-07-01,10.342516
1980-08-01,11.041552
1980-09-01,12.098402
1980-10-01,10.92536
1980-11-01,8.246727
1980-12-01,6.771974
1981-01-01,6.8652854
1981-02-01,8.5559635
1981-03-01,10.091055
1981-04-01,11.724994
1981-05-01,13.673421
1981-06-01,12.003414
1981-07-01,10.816545
1981-08-01,11.4921255
1981-09-01,11.347696
1981-10-01,10.682587
1981-11-01,8.466549
1981-12-01,7.309169
1982-01-01,7.461168
1982-02-01,7.61912
1982-03-01,10.73958
1982-04-01,10.974362
1982-05-01,12.963798
1982-06-01,11.958189
1982-07-01,10.768339
1982-08-01,10.471068
1982-09-01,11.296227
1982-10-01,9.8627205
1982-11-01,7.645175
1982-12-01,6.585084
1983-01-01,5.933233
1983-02-01,8.422099
1983-03-01,9.080633
1983-04-01,11.541724
1983-05-01,12.1067095
1983-06-01,12.895778
1983-07-01,11.398062
1983-08-01,10.845333
1983-09-01,11.218473
1983-10-01,10.815002
1983-11-01,7.6666846
1983-12-01,6.77257
1984-01-01,6.6881776
1984-02-01,9.288929
1984-03-01,10.586351
1984-04-01,12.4867115
1984-05-01,12.536019
1984-06-01,11.333935
1984-07-01,11.070386
1984-08-01,10.610782
1984-09-01,11.243277
1984-10-01,10.394126
1984-11-01,8.106228
1984-12-01,6.6875443
1985-01-01,7.5168314
1985-02-01,8.394509
1985-03-01,10.602165
1985-04-01,11.765189
1985-05-01,11.568605
1985-06-01,11.343784
1985-07-01,10.500148
1985-08-01,10.981828
1985-09-01,11.060808
1985-10-01,11.185851
1985-11-01,7.715758
1985-12-01,6.753139
1986-01-01,6.883711
1986-02-01,8.681588
1986-03-01,11.2043915
1986-04-01,10.9973545
1986-05-01,12.853466
1986-06-01,11.157788
1986-07-01,10.960944
1986-08-01,11.805743
1986-09-01,10.481667
1986-10-01,10.435466
1986-11-01,8.23405
1986-12-01,6.579921
1987-01-01,6.7344084
1987-02-01,8.488759
1987-03-01,9.91647
1987-04-01,12.313388
1987-05-01,11.960104
1987-06-01,12.157329
1987-07-01,12.051731
1987-08-01,11.246502
1987-09-01,12.494847
1987-10-01,10.445855
1987-11-01,8.600153
1987-12-01,6.914817
1988-01-01,6.9352612
1988-02-01,7.8387933
1988-03-01,11.164449
1988-04-01,11.637967
1988-05-01,12.709528
1988-06-01,12.080505
1988-07-01,10.905989
1988-08-01,9.739489
1988-09-01,11.019498
1988-10-01,11.124
1988-11-01,8.677609
1988-12-01,7.1108046
1989-01-01,6.6778584
1989-02-01,7.835694
1989-03-01,9.898953
1989-04-01,11.365339
1989-05-01,13.110622
1989-06-01,12.352928
1989-07-01,11.759058
1989-08-01,11.402771
1989-09-01,10.976504
1989-10-01,10.76454
1989-11-01,8.430846
1989-12-01,6.475076
1990-01-01,7.406041
1990-02-01,7.5032935
1990-03-01,9.882927
1990-04-01,11.816252
1990-05-01,12.915082
