,et0_mm_day
1971-08-01,5.0029607
1971-09-01,5.560156
1971-10-01,7.297188
1971-11-01,8.1103
1971-12-01,7.925272
1972-01-01,7.0731044
1972-02-01,8.04951
1972-03-01,9.530328
1972-04-01,9.989686
1972-05-01,9.782307
1972-06-01,7.9049506
1972-07-01,6.7970457
1972-08-01,6.245233
1972-09-01,6.858997
1972-10-01,7.410247
1972-11-01,8.396424
1972-12-01,7.3325634
1973-01-01,7.3781834
1973-02-01,8.312866
1973-03-01,9.8538475
1973-04-01,9.903148
1973-05-01,8.652732
1973-06-01,9.825833
1973-07-01,6.9755836
1973-08-01,6.9767385
1973-09-01,7.2138605
1973-10-01,6.9171677
1973-11-01,8.693367
1973-12-01,7.56944
1974-01-01,8.015148
1974-02-01,8.560941
1974-03-01,9.507157
1974-04-01,10.126747
1974-05-01,9.783663
1974-06-01,8.228697
1974-07-01,5.712807
1974-08-01,5.668722
1974-09-01,5.4159126
1974-10-01,6.9289207
1974-11-01,8.259453
1974-12-01,7.380642
1975-01-01,7.6295433
1975-02-01,8.639723
1975-03-01,9.669021
1975-04-01,9.610913
1975-05-01,9.667449
1975-06-01,7.791467
1975-07-01,6.9838686
1975-08-01,4.891485
1975-09-01,5.8243237
1975-10-01,6.864071
1975-11-01,8.298151
1975-12-01,7.61161
1976-01-01,7.1174054
1976-02-01,8.675829
1976-03-01,9.719442
1976-04-01,9.936415
1976-05-01,9.432152
1976-06-01,9.677797
1976-07-01,6.290682
1976-08-01,7.040493
1976-09-01,6.72254
1976-10-01,7.4363837
1976-11-01,8.018069
1976-12-01,7.53925
1977-01-01,7.7779665
1977-02-01,8.35371
1977-03-01,10.031014
1977-04-01,10.375082
1977-05-01,10.058653
1977-06-01,8.504823
1977-07-01,6.406918
1977-08-01,4.959993
1977-09-01,7.2602143
1977-10-01,7.6398554
1977-11-01,7.9749117
1977-12-01,7.9268293
1978-01-01,7.6682863
1978-02-01,8.572705
1978-03-01,9.646625
1978-04-01,9.179041
1978-05-01,9.80141
1978-06-01,9.396017
1978-07-01,5.468175
1978-08-01,5.345404
1978-09-01,6.9838467
1978-10-01,7.5178967
1978-11-01,8.499108
1978-12-01,7.573329
1979-01-01,7.5438023
1979-02-01,8.186072
1979-03-01,9.801165
1979-04-01,10.514155
1979-05-01,8.715689
1979-06-01,8.900222
1979-07-01,7.6268015
1979-08-01,5.905472
1979-09-01,6.550066
1979-10-01,7.3315873
1979-11-01,8.513935
1979-12-01,7.790081
1980-01-01,7.2040854
1980-02-01,8.62325
1980-03-01,9.781502
1980-04-01,10.348335
1980-05-01,9.271651
1980-06-01,8.80333
1980-07-01,6.3761396
1980-08-01,7.2139053
1980-09-01,8.336872
1980-10-01,7.905662
1980-11-01,8.926853
1980-12-01,7.8568907
1981-01-01,8.300938
1981-02-01,8.636817
1981-03-01,9.587188
1981-04-01,10.569673
1981-05-01,9.691499
1981-06-01,9.675317
1981-07-01,7.1670713
1981-08-01,7.339388
1981-09-01,6.494753
1981-10-01,7.404558
1981-11-01,8.624427
1981-12-01,7.587351
1982-01-01,7.6512394
1982-02-01,8.728325
1982-03-01,10.301404
1982-04-01,9.731963
1982-05-01,9.404007
1982-06-01,9.462275
1982-07-01,8.170195
1982-08-01,6.4431353
1982-09-01,6.6026525
1982-10-01,6.5348597
1982-11-01,8.177839
1982-12-01,6.9665613
1983-01-01,7.987313
1983-02-01,8.247577
1983-03-01,9.597562
1983-04-01,10.418079
1983-05-01,9.861
1983-06-01,8.324027
1983-07-01,8.377128
1983-08-01,7.063083
1983-09-01,7.914625
1983-10-01,8.317843
1983-11-01,8.70195
1983-12-01,7.6549277
1984-01-01,7.4978695
1984-02-01,8.188486
1984-03-01,9.80182
1984-04-01,10.930799
1984-05-01,9.632691
1984-06-01,10.184042
1984-07-01,8.59008
1984-08-01,8.235335
1984-09-01,7.573716
1984-10-01,8.587867
1984-11-01,8.859612
1984-12-01,7.6200666
1985-01-01,7.8177304
1985-02-01,9.085298
1985-03-01,9.318088
1985-04-01,10.208771
1985-05-01,8.492723
1985-06-01,7.796429
1985-07-01,5.968377
1985-08-01,7.1754456
1985-09-01,5.9852004
1985-10-01,6.9974065
1985-11-01,7.638123
1985-12-01,7.8275948
1986-01-01,7.592596
1986-02-01,8.340701
1986-03-01,9.493343
1986-04-01,10.254584
1986-05-01,10.510914
1986-06-01,8.6703825
1986-07-01,6.9440155
1986-08-01,7.079132
1986-09-01,6.322719
1986-10-01,6.901644
1986-11-01,8.591171
1986-12-01,7.747106
1987-01-01,7.463083
1987-02-01,8.611314
1987-03-01,9.872556
1987-04-01,10.400571
1987-05-01,8.343085
1987-06-01,8.725233
1987-07-01,8.301325
1987-08-01,6.5638723
1987-09-01,7.757951
1987-10-01,8.00851
1987-11-01,8.762508
1987-12-01,8.323535
1988-01-01,7.8100786
1988-02-01,8.745529
1988-03-01,10.260672
1988-04-01,10.484103
1988-05-01,9.780102
1988-06-01,9.1318865
1988-07-01,6.370269
1988-08-01,4.955739
1988-09-01,5.902827
1988-10-01,6.7146344
1988-11-01,8.602545
1988-12-01,7.7744427
1989-01-01,7.8856797
1989-02-01,8.6907
1989-03-01,9.454988
1989-04-01,10.061115
1989-05-01,9.601153
1989-06-01,9.31988
1989-07-01,8.524158
1989-08-01,6.7261906
1989-09-01,7.002421
1989-10-01,7.6538773
1989-11-01,8.6126175
1989-12-01,7.6928363
1990-01-01,7.5795574
1990-02-01,9.367175
1990-03-01,9.894222
1990-04-01,10.281507
1990-05-01,10.480914
1990-06-01,10.526196
1990-07-01,8.43428
1990-08-01,9.604901
1990-09-01,8.615624
1990-10-01,8.337609
1990-11-01,8.6523075
1990-12-01,8.064769
1991-01-01,8.327939
1991-02-01,8.383669
1991-03-01,9.585589
1991-04-01,9.881832
1991-05-01,9.754777
1991-06-01,10.3448925
1991-07-01,8.971199
1991-08-01,6.4728484
1991-09-01,8.537613
1991-10-01,7.800445
1991-11-01,8.568816
1991-12-01,7.696569
1992-01-01,7.5309725
1992-02-01,8.686521
1992-03-01,9.229965
1992-04-01,10.463863
1992-05-01,9.985007
1992-06-01,9.735413
1992-07-01,7.901363
1992-08-01,6.1459765
1992-09-01,6.9528594
1992-10-01,7.6522155
1992-11-01,8.298941
1992-12-01,7.566139
1993-01-01,7.7997894
1993-02-01,8.147657
1993-03-01,10.191851
1993-04-01,9.990156
1993-05-01,9.285301
1993-06-01,9.689026
1993-07-01,8.170671
1993-08-01,7.4411926
1993-09-01,7.551245
1993-10-01,7.7340455
1993-11-01,8.705321
1993-12-01,8.041188
1994-01-01,8.312903
1994-02-01,8.711837
1994-03-01,9.538338
1994-04-01,10.327146
1994-05-01,10.063998
1994-06-01,9.803243
1994-07-01,6.670222
1994-08-01,6.0470476
1994-09-01,7.0208797
1994-10-01,7.9840717
1994-11-01,8.939952
1994-12-01,7.5541587
1995-01-01,7.668361
1995-02-01,9.269781
1995-03-01,9.693042
1995-04-01,10.238439
