,et0_mm_day
1969-03-01,15.196104
1969-04-01,15.342005
1969-05-01,14.302939
1969-06-01,13.243176
1969-07-01,10.891691
1969-08-01,7.539883
1969-09-01,8.8129635
1969-10-01,10.447934
1969-11-01,14.934286
1969-12-01,13.790339
1970-01-01,13.585865
1970-02-01,15.940681
1970-03-01,16.539574
1970-04-01,16.729218
1970-05-01,13.987884
1970-06-01,15.458554
1970-07-01,8.850634
1970-08-01,7.266037
1970-09-01,7.7023954
1970-10-01,8.716464
1970-11-01,15.471048
1970-12-01,14.148831
1971-01-01,14.169015
1971-02-01,16.260729
1971-03-01,16.924976
1971-04-01,17.713203
1971-05-01,13.246812
1971-06-01,12.624555
1971-07-01,8.0186205
1971-08-01,5.8343334
1971-09-01,6.2419586
1971-10-01,8.061439
1971-11-01,12.387522
1971-12-01,13.515197
1972-01-01,13.855569
1972-02-01,15.80926
1972-03-01,16.905323
1972-04-01,15.578844
1972-05-01,12.959473
1972-06-01,9.508491
1972-07-01,8.444018
1972-08-01,7.6154175
1972-09-01,7.4924974
1972-10-01,8.821212
1972-11-01,14.891624
1972-12-01,14.414683
1973-01-01,14.655932
1973-02-01,15.91152
1973-03-01,18.557028
1973-04-01,15.790075
1973-05-01,12.475833
1973-06-01,12.399435
1973-07-01,9.003162
1973-08-01,8.205101
1973-09-01,8.506763
1973-10-01,8.076679
1973-11-01,15.166834
1973-12-01,13.740405
1974-01-01,14.712036
1974-02-01,15.5239105
1974-03-01,16.282835
1974-04-01,15.794017
1974-05-01,12.894198
1974-06-01,9.837687
1974-07-01,6.8410115
1974-08-01,6.3133163
1974-09-01,5.6013355
1974-10-01,7.2411594
1974-11-01,11.888713
1974-12-01,14.210403
1975-01-01,14.925003
1975-02-01,16.50378
1975-03-01,17.67964
1975-04-01,14.696821
1975-05-01,12.722656
1975-06-01,9.20283
1975-07-01,8.525759
1975-08-01,5.6946354
1975-09-01,6.134082
1975-10-01,7.689014
1975-11-01,12.036636
1975-12-01,14.597975
1976-01-01,14.155335
1976-02-01,16.89902
1976-03-01,16.709766
1976-04-01,14.73181
1976-05-01,12.730024
1976-06-01,12.099676
1976-07-01,7.3220506
1976-08-01,8.186683
1976-09-01,7.4160657
1976-10-01,8.3066225
1976-11-01,11.937499
1976-12-01,13.891787
1977-01-01,14.724471
1977-02-01,15.460073
1977-03-01,18.771105
1977-04-01,17.101326
1977-05-01,13.980068
1977-06-01,9.955801
1977-07-01,8.439295
1977-08-01,5.9926734
1977-09-01,7.751256
1977-10-01,9.264223
1977-11-01,13.549365
1977-12-01,14.596351
1978-01-01,14.739789
1978-02-01,16.010769
1978-03-01,17.917868
1978-04-01,13.553958
1978-05-01,12.786709
1978-06-01,12.170657
1978-07-01,7.3818045
1978-08-01,6.258063
1978-09-01,7.589523
1978-10-01,8.957595
1978-11-01,15.177123
1978-12-01,13.553053
1979-01-01,13.811499
1979-02-01,13.707497
1979-03-01,16.912027
1979-04-01,14.996186
1979-05-01,11.807948
1979-06-01,10.95182
1979-07-01,9.344801
1979-08-01,6.974146
1979-09-01,7.6068563
1979-10-01,9.036489
1979-11-01,12.186054
1979-12-01,14.224246
1980-01-01,14.220245
1980-02-01,16.307554
1980-03-01,16.337223
1980-04-01,15.390537
1980-05-01,11.940323
1980-06-01,10.526196
1980-07-01,7.8492985
1980-08-01,7.684216
1980-09-01,9.514197
1980-10-01,9.1488695
1980-11-01,14.2054405
1980-12-01,14.258944
1981-01-01,15.713848
1981-02-01,16.898289
1981-03-01,16.741823
1981-04-01,17.383076
1981-05-01,13.220578
1981-06-01,12.920819
1981-07-01,8.62506
1981-08-01,8.733847
1981-09-01,7.2385073
1981-10-01,9.435635
1981-11-01,14.310137
1981-12-01,13.502009
1982-01-01,14.317885
1982-02-01,15.437581
1982-03-01,18.233948
1982-04-01,15.66729
1982-05-01,12.332506
1982-06-01,12.48049
1982-07-01,10.092229
1982-08-01,8.251161
1982-09-01,7.753085
1982-10-01,7.473417
1982-11-01,14.364205
1982-12-01,13.158657
1983-01-01,15.055716
1983-02-01,16.797417
1983-03-01,18.456244
1983-04-01,17.48225
1983-05-01,14.034212
1983-06-01,10.940597
1983-07-01,10.511019
1983-08-01,8.742176
1983-09-01,8.917615
1983-10-01,10.7090845
1983-11-01,14.313131
1983-12-01,14.155212
1984-01-01,14.797479
1984-02-01,16.159416
1984-03-01,17.442875
1984-04-01,17.35287
1984-05-01,12.928345
1984-06-01,13.0184145
1984-07-01,10.191232
1984-08-01,8.834876
1984-09-01,8.57798
1984-10-01,11.205413
1984-11-01,15.917752
1984-12-01,14.714196
1985-01-01,15.094221
1985-02-01,17.417528
1985-03-01,16.454071
1985-04-01,16.198217
1985-05-01,10.587163
1985-06-01,9.33823
1985-07-01,6.750271
1985-08-01,8.239455
1985-09-01,6.565083
1985-10-01,7.7246723
1985-11-01,12.412206
1985-12-01,14.22304
1986-01-01,14.999583
1986-02-01,15.838064
1986-03-01,15.84135
1986-04-01,16.237587
1986-05-01,17.228642
1986-06-01,10.560125
1986-07-01,8.737996
1986-08-01,8.450791
1986-09-01,7.369913
1986-10-01,8.339763
1986-11-01,14.691148
1986-12-01,14.897861
1987-01-01,14.4532995
1987-02-01,16.007095
1987-03-01,17.621271
1987-04-01,17.823488
1987-05-01,11.83194
1987-06-01,10.51037
1987-07-01,9.839952
1987-08-01,7.782936
1987-09-01,8.4513235
1987-10-01,10.088653
1987-11-01,14.885902
1987-12-01,15.761145
1988-01-01,15.2281
1988-02-01,16.612432
1988-03-01,18.536932
1988-04-01,17.08686
1988-05-01,14.55792
1988-06-01,11.275954
1988-07-01,8.696042
1988-08-01,6.2363224
1988-09-01,6.964665
1988-10-01,8.385435
1988-11-01,14.134667
1988-12-01,13.405651
1989-01-01,14.504292
1989-02-01,15.818879
1989-03-01,15.952677
1989-04-01,15.234396
1989-05-01,12.6618595
1989-06-01,12.5717745
1989-07-01,10.819353
1989-08-01,8.467108
1989-09-01,7.9862847
1989-10-01,9.732362
1989-11-01,14.307335
1989-12-01,13.562575
1990-01-01,14.29633
1990-02-01,16.228199
1990-03-01,17.887295
1990-04-01,16.600538
1990-05-01,15.180096
1990-06-01,14.970697
1990-07-01,9.6214485
1990-08-01,11.409849
1990-09-01,9.505488
1990-10-01,10.834161
1990-11-01,13.084628
1990-12-01,13.272516
1991-01-01,14.470503
1991-02-01,15.277378
1991-03-01,16.349144
1991-04-01,14.391147
1991-05-01,12.759082
1991-06-01,13.150319
1991-07-01,10.815732
1991-08-01,7.6935067
1991-09-01,10.011252
1991-10-01,9.563104
1991-11-01,14.1723
1991-12-01,13.609968
1992-01-01,12.985788
1992-02-01,15.088081
1992-03-01,16.785927
1992-04-01,15.443049
1992-05-01,14.580734
1992-06-01,12.484603
1992-07-01,10.003723
1992-08-01,6.8135633
1992-09-01,7.8058095
1992-10-01,8.512765
1992-11-01,13.285346
1992-12-01,13.5293455
1993-01-01,13.868586
1993-02-01,14.602773
1993-03-01,17.5936
1993-04-01,14.576703
1993-05-01,12.54788
1993-06-01,12.400672
1993-07-01,9.751775
1993-08-01,8.903183
1993-09-01,8.811339
1993-10-01,8.930691
1993-11-01,13.856389
1993-12-01,15.203267
1994-01-01,15.8804655
1994-02-01,17.06323
1994-03-01,17.350733
1994-04-01,16.541853
1994-05-01,13.372808
1994-06-01,11.701449
1994-07-01,8.681983
1994-08-01,7.2402806
1994-09-01,7.656686
1994-10-01,10.136477
1994-11-01,14.762692
1994-12-01,14.100067
1995-01-01,14.085666
1995-02-01,16.429142
1995-03-01,17.22928
1995-04-01,16.291492
1995-05-01,13.378233
1995-06-01,12.254015
1995-07-01,8.457832
1995-08-01,8.501403
1995-09-01,8.407101
1995-10-01,10.029242
1995-11-01,15.643813
1995-12-01,15.174411
1996-01-01,15.043921
1996-02-01,17.194181
1996-03-01,16.784676
1996-04-01,16.827799
1996-05-01,10.6827545
1996-06-01,10.7059555
1996-07-01,10.011315
1996-08-01,7.3860364
1996-09-01,6.539673
1996-10-01,9.618826
1996-11-01,14.896363
1996-12-01,14.5002
1997-01-01,14.817357
1997-02-01,18.370523
1997-03-01,18.456459
1997-04-01,15.000478
1997-05-01,12.994506
1997-06-01,11.545986
1997-07-01,8.667991
1997-08-01,7.578455
1997-09-01,9.648271
1997-10-01,9.213932
1997-11-01,13.88051
1997-12-01,14.576118
1998-01-01,14.995993
1998-02-01,16.383461
1998-03-01,18.166609
1998-04-01,17.566572
1998-05-01,13.882257
1998-06-01,15.433714
1998-07-01,9.020954
1998-08-01,6.559968
1998-09-01,6.915599
1998-10-01,8.141756
1998-11-01,11.964172
1998-12-01,13.380356
1999-01-01,12.729227
1999-02-01,15.621588
1999-03-01,17.230577
1999-04-01,17.936676
1999-05-01,15.048713
1999-06-01,14.181316
1999-07-01,8.885905
1999-08-01,7.061109
1999-09-01,7.951278
1999-10-01,7.7877417
1999-11-01,13.243534
1999-12-01,13.570428
2000-01-01,14.977619
2000-02-01,17.250515
2000-03-01,17.811388
2000-04-01,15.111067
2000-05-01,13.7083235
2000-06-01,14.720336
2000-07-01,10.680169
2000-08-01,9.045742
2000-09-01,9.149983
2000-10-01,10.572735
2000-11-01,13.721846
2000-12-01,13.549224
2001-01-01,13.6986
2001-02-01,16.051487
2001-03-01,16.493195
2001-04-01,15.954592
2001-05-01,15.32647
2001-06-01,12.352772
2001-07-01,8.725665
2001-08-01,7.238656
2001-09-01,8.287907
2001-10-01,9.544589
2001-11-01,12.720212
2001-12-01,13.634868
2002-01-01,14.435947
2002-02-01,15.666
2002-03-01,16.213245
2002-04-01,17.864517
2002-05-01,16.617708
2002-06-01,14.288165
2002-07-01,12.295365
2002-08-01,9.364941
2002-09-01,9.13763
2002-10-01,10.723792
2002-11-01,13.623506
2002-12-01,13.676151
2003-01-01,13.120569
2003-02-01,16.51331
2003-03-01,18.879137
2003-04-01,15.90899
2003-05-01,16.441607
2003-06-01,13.616763
2003-07-01,8.824051
2003-08-01,7.312581
2003-09-01,8.482382
2003-10-01,9.86705
2003-11-01,13.200484
2003-12-01,13.570211
2004-01-01,13.81392
2004-02-01,15.314743
2004-03-01,17.550558
2004-04-01,16.332075
2004-05-01,15.67737
2004-06-01,12.499362
2004-07-01,11.490517
2004-08-01,8.517243
2004-09-01,9.924117
2004-10-01,10.213092
2004-11-01,13.509602
2004-12-01,12.687452
2005-01-01,13.5749655
2005-02-01,16.547628
2005-03-01,17.70892
2005-04-01,17.523691
2005-05-01,14.604672
2005-06-01,12.631506
2005-07-01,9.305954
2005-08-01,8.5460615
2005-09-01,8.7499695
2005-10-01,10.032929
2005-11-01,14.490299
2005-12-01,13.371214
2006-01-01,13.940043
2006-02-01,15.52131
2006-03-01,17.172688
2006-04-01,17.786499
2006-05-01,13.441756
2006-06-01,14.26664
2006-07-01,10.060951
2006-08-01,7.941477
2006-09-01,7.9671106
2006-10-01,9.080939
2006-11-01,13.637722
2006-12-01,13.24337
2007-01-01,13.113633
2007-02-01,14.5632105
2007-03-01,16.771078
2007-04-01,16.300745
2007-05-01,15.85602
2007-06-01,12.388617
2007-07-01,6.6540613
2007-08-01,7.234119
2007-09-01,8.302376
2007-10-01,9.634852
2007-11-01,12.500345
2007-12-01,13.823368
2008-01-01,14.161364
2008-02-01,15.75651
2008-03-01,16.092516
2008-04-01,13.853356
2008-05-01,14.531165
2008-06-01,13.710231
2008-07-01,10.602109
2008-08-01,8.334257
2008-09-01,7.964358
2008-10-01,11.124842
2008-11-01,13.767209
2008-12-01,13.25304
2009-01-01,13.92106
2009-02-01,16.214266
2009-03-01,18.439024
2009-04-01,16.033731
2009-05-01,16.9065
2009-06-01,15.134044
2009-07-01,10.061458
2009-08-01,9.010218
2009-09-01,10.107689
2009-10-01,10.963842
2009-11-01,14.464513
2009-12-01,13.255782
2010-01-01,13.843119
2010-02-01,15.63935
2010-03-01,16.90805
2010-04-01,18.390245
2010-05-01,15.12573
2010-06-01,13.560936
2010-07-01,9.792224
2010-08-01,8.226611
2010-09-01,8.755066
2010-10-01,9.710535
2010-11-01,11.849634
2010-12-01,13.811522
2011-01-01,13.948523
2011-02-01,16.108849
2011-03-01,17.8556
2011-04-01,17.875954
2011-05-01,14.6768465
2011-06-01,14.867909
2011-07-01,12.203961
2011-08-01,8.682147
2011-09-01,8.571967
2011-10-01,10.413457
2011-11-01,15.364025
2011-12-01,14.042668
2012-01-01,15.406102
2012-02-01,16.973406
2012-03-01,18.86636
2012-04-01,16.789968
2012-05-01,16.072594
2012-06-01,13.73642
2012-07-01,9.910599
2012-08-01,8.19923
2012-09-01,9.091124
2012-10-01,10.491058
2012-11-01,12.798972
2012-12-01,13.921507
2013-01-01,14.423944
2013-02-01,16.037413
2013-03-01,17.132051
2013-04-01,18.589813
2013-05-01,16.065315
2013-06-01,13.521202
2013-07-01,12.6324
2013-08-01,6.848
2013-09-01,8.93595
2013-10-01,10.957859
2013-11-01,12.64371
2013-12-01,12.64552
2014-01-01,13.219878
2014-02-01,14.761552
2014-03-01,16.642735
2014-04-01,14.438726
2014-05-01,13.035975
2014-06-01,12.997523
2014-07-01,9.992846
2014-08-01,7.876605
2014-09-01,9.027063
2014-10-01,8.928299
2014-11-01,15.3258
2014-12-01,14.672354
2015-01-01,15.58879
2015-02-01,17.26798
2015-03-01,18.301018
2015-04-01,19.130863
2015-05-01,16.38047
2015-06-01,13.775646
2015-07-01,12.468457
2015-08-01,10.544128
2015-09-01,11.051886
2015-10-01,11.2353115
2015-11-01,16.25638
2015-12-01,15.587822
2016-01-01,15.363641
2016-02-01,16.590849
2016-03-01,18.411047
2016-04-01,16.633913
2016-05-01,13.9667015
2016-06-01,14.685992
2016-07-01,9.401687
2016-08-01,8.292861
2016-09-01,10.996983
2016-10-01,12.216822
2016-11-01,15.133776
2016-12-01,15.425428
2017-01-01,16.105547
2017-02-01,17.524458
2017-03-01,18.918655
2017-04-01,17.596045
2017-05-01,13.085686
2017-06-01,14.16155
2017-07-01,11.763275
2017-08-01,10.093667
2017-09-01,10.867842
2017-10-01,12.965896
2017-11-01,16.262188
2017-12-01,14.939003
2018-01-01,15.9849825
2018-02-01,16.06036
2018-03-01,16.776628
2018-04-01,17.275505
2018-05-01,14.493264
2018-06-01,12.966246
2018-07-01,11.267998
2018-08-01,8.066103
2018-09-01,8.81242
2018-10-01,11.35233
2018-11-01,16.302324
2018-12-01,15.544109
2019-01-01,15.636198
2019-02-01,17.62449
2019-03-01,19.530207
2019-04-01,17.834417
2019-05-01,15.520796
2019-06-01,10.916882
2019-07-01,11.993572
2019-08-01,7.1324706
2019-09-01,9.238497
2019-10-01,8.307121
2019-11-01,13.832167
2019-12-01,15.049391
2020-01-01,15.496098
2020-02-01,17.532438
2020-03-01,18.845901
2020-04-01,18.753498
2020-05-01,15.453235
2020-06-01,15.49124
2020-07-01,12.264029
2020-08-01,6.328441
2020-09-01,10.059007
2020-10-01,11.63511
2020-11-01,16.507372
2020-12-01,15.192047
2021-01-01,15.344821
2021-02-01,17.118587
2021-03-01,18.003277
2021-04-01,18.166445
2021-05-01,14.649532
2021-06-01,15.766837
2021-07-01,11.43074
2021-08-01,10.147572
2021-09-01,11.0933485
2021-10-01,11.5303955
2021-11-01,14.64919
2021-12-01,15.820332
2022-01-01,16.057522
2022-02-01,17.66725
2022-03-01,18.795752
2022-04-01,15.97552
2022-05-01,17.29031
2022-06-01,16.622492
2022-07-01,10.833189
2022-08-01,7.2207823
2022-09-01,5.667236
2022-10-01,6.765794
2022-11-01,9.080451
2022-12-01,8.024264
2023-01-01,13.958146
2023-02-01,15.572194
2023-03-01,17.063902
2023-04-01,16.194942
2023-05-01,9.032275
2023-06-01,7.378105
2023-07-01,8.333113
2023-08-01,6.7079067
2023-09-01,7.3031597
2023-10-01,6.8287587
2023-11-01,7.451009
2023-12-01,8.365769
2024-01-01,13.958146
2024-02-01,15.572194
2024-03-01,18.285952
2024-04-01,17.430634
2024-05-01,17.54821
2024-06-01,17.114275
2024-07-01,11.013664
2024-08-01,5.437642
2024-09-01,9.0738535
2024-10-01,11.880327
2024-11-01,15.911243
2024-12-01,15.003734
2025-01-01,15.297196
2025-02-01,16.853289
2025-03-01,18.211798
2025-04-01,17.921253
2025-05-01,18.073626
2025-06-01,17.361626
2025-07-01,11.747107
2025-08-01,9.131722
2025-09-01,10.072716
2025-10-01,11.87288
2025-11-01,14.697574
2025-12-01,15.029177
2026-01-01,15.352361
2026-02-01,16.966858
2026-03-01,16.51793
