period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,cairo,1,0,1957.0000000099199,0,897,1803,6022.499999890503,1060.0000000099199,4962.499999880582,1734.5454545932243,-0.000000000000014210854715202004,0,0,0,0,-0.000000000000014210854715202004,0,0,0
1,30,60,30,cairo,1,0,5586.000000074403,0,2700,0,6022.499999890503,2886.000000074401,3136.4999998161006,4722.545454753064,0,0,0,0,0,0,0,0,0
2,60,90,30,cairo,1,0,7470.0000000684,0,2700,0,6022.499999890503,4770.0000000684,1252.4999998221006,7805.454545708388,0,0,0,0,0,0,0,0,0
