period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,55491.76000010178,1620,1579.7600000000002,1870.2400000000005,9161.099999807866,3049.599999935718,6111.499999872151,4170.3014545977985,48606.92000011249,5545.108362546681,5.545108362546681,1835.6799999999987,50442.60000011249,50442.60000011249,0.000000000004547473508864641,3052.3209392882645
1,30,60,30,80502.84000018773,1620,3450,0,9161.099999807866,7147.6399999339465,2013.4599998739222,10483.485454692847,60520.000000074084,6434.110703054999,6.4341107030549995,5914.400000128945,66434.40000020302,66434.40000020304,0.000000000004547473508864641,3548.8653450274487
2,60,90,30,87884.08000029392,1620,3450,0,9161.099999807866,8865.549999866997,295.54999994086995,13283.132727360695,62967.33000027918,6646.702203749999,6.646702203749999,10603.600000252056,73570.93000053124,72048.40000032594,1522.5300002053154,3674.2943304374994
3,90,120,30,89718.00000022161,1620,3450,0,9161.099999807866,9161.099999807866,0,13766.76,64505.70000026599,6646.702203749999,6.646702203749999,10849.200000147732,75354.90000041372,72294.00000022161,3060.9000001921277,3674.2943304374994
