date,evaporation_m3_day
1950-01-01,101607.739925
1950-01-02,101607.739925
1950-01-03,101607.739925
1950-01-04,101607.739925
1950-01-05,101607.739925
1950-01-06,101607.739925
1950-01-07,101607.739925
1950-01-08,101607.739925
1950-01-09,101607.739925
1950-01-10,101607.739925
1950-01-11,101607.739925
1950-01-12,101607.739925
1950-01-13,101607.739925
1950-01-14,101607.739925
1950-01-15,101607.739925
1950-01-16,101607.739925
1950-01-17,101607.739925
1950-01-18,101607.739925
1950-01-19,101607.739925
1950-01-20,101607.739925
1950-01-21,101607.739925
1950-01-22,101607.739925
1950-01-23,101607.739925
1950-01-24,101607.739925
1950-01-25,101607.739925
1950-01-26,101607.739925
1950-01-27,101607.739925
1950-01-28,101607.739925
1950-01-29,101607.739925
1950-01-30,101607.739925
1950-01-31,101607.739925
1950-02-01,134606.670056
1950-02-02,134606.670056
1950-02-03,134606.670056
1950-02-04,134606.670056
1950-02-05,134606.670056
1950-02-06,134606.670056
1950-02-07,134606.670056
1950-02-08,134606.670056
1950-02-09,134606.670056
1950-02-10,134606.670056
1950-02-11,134606.670056
1950-02-12,134606.670056
1950-02-13,134606.670056
1950-02-14,134606.670056
1950-02-15,134606.670056
1950-02-16,134606.670056
1950-02-17,134606.670056
1950-02-18,134606.670056
1950-02-19,134606.670056
1950-02-20,134606.670056
1950-02-21,134606.670056
1950-02-22,134606.670056
1950-02-23,134606.670056
1950-02-24,134606.670056
1950-02-25,134606.670056
1950-02-26,134606.670056
1950-02-27,134606.670056
1950-02-28,134606.670056
1950-03-01,109543.463876
1950-03-02,109543.463876
1950-03-03,109543.463876
1950-03-04,109543.463876
1950-03-05,109543.463876
1950-03-06,109543.463876
1950-03-07,109543.463876
1950-03-08,109543.463876
1950-03-09,109543.463876
1950-03-10,109543.463876
1950-03-11,109543.463876
1950-03-12,109543.463876
1950-03-13,109543.463876
1950-03-14,109543.463876
1950-03-15,109543.463876
1950-03-16,109543.463876
1950-03-17,109543.463876
1950-03-18,109543.463876
1950-03-19,109543.463876
1950-03-20,109543.463876
1950-03-21,109543.463876
1950-03-22,109543.463876
1950-03-23,109543.463876
1950-03-24,109543.463876
1950-03-25,109543.463876
1950-03-26,109543.463876
1950-03-27,109543.463876
1950-03-28,109543.463876
1950-03-29,109543.463876
1950-03-30,109543.463876
1950-03-31,109543.463876
1950-04-01,93739.887079
1950-04-02,93739.887079
1950-04-03,93739.887079
1950-04-04,93739.887079
1950-04-05,93739.887079
1950-04-06,93739.887079
1950-04-07,93739.887079
1950-04-08,93739.887079
1950-04-09,93739.887079
1950-04-10,93739.887079
1950-04-11,93739.887079
1950-04-12,93739.887079
1950-04-13,93739.887079
1950-04-14,93739.887079
1950-04-15,93739.887079
1950-04-16,93739.887079
1950-04-17,93739.887079
1950-04-18,93739.887079
1950-04-19,93739.887079
1950-04-20,93739.887079
1950-04-21,93739.887079
1950-04-22,93739.887079
1950-04-23,93739.887079
1950-04-24,93739.887079
1950-04-25,93739.887079
1950-04-26,93739.887079
1950-04-27,93739.887079
1950-04-28,93739.887079
1950-04-29,93739.887079
1950-04-30,93739.887079
1950-05-01,49511.972935
1950-05-02,49511.972935
1950-05-03,49511.972935
1950-05-04,49511.972935
1950-05-05,49511.972935
1950-05-06,49511.972935
1950-05-07,49511.972935
1950-05-08,49511.972935
1950-05-09,49511.972935
1950-05-10,49511.972935
1950-05-11,49511.972935
1950-05-12,49511.972935
1950-05-13,49511.972935
1950-05-14,49511.972935
1950-05-15,49511.972935
1950-05-16,49511.972935
1950-05-17,49511.972935
1950-05-18,49511.972935
1950-05-19,49511.972935
1950-05-20,49511.972935
1950-05-21,49511.972935
1950-05-22,49511.972935
1950-05-23,49511.972935
1950-05-24,49511.972935
1950-05-25,49511.972935
1950-05-26,49511.972935
1950-05-27,49511.972935
1950-05-28,49511.972935
1950-05-29,49511.972935
1950-05-30,49511.972935
1950-05-31,49511.972935
1950-06-01,55346.290270
1950-06-02,55346.290270
1950-06-03,55346.290270
1950-06-04,55346.290270
1950-06-05,55346.290270
1950-06-06,55346.290270
1950-06-07,55346.290270
1950-06-08,55346.290270
1950-06-09,55346.290270
1950-06-10,55346.290270
1950-06-11,55346.290270
1950-06-12,55346.290270
1950-06-13,55346.290270
1950-06-14,55346.290270
1950-06-15,55346.290270
1950-06-16,55346.290270
1950-06-17,55346.290270
1950-06-18,55346.290270
1950-06-19,55346.290270
1950-06-20,55346.290270
1950-06-21,55346.290270
1950-06-22,55346.290270
1950-06-23,55346.290270
1950-06-24,55346.290270
1950-06-25,55346.290270
1950-06-26,55346.290270
1950-06-27,55346.290270
1950-06-28,55346.290270
1950-06-29,55346.290270
1950-06-30,55346.290270
1950-07-01,46305.348796
1950-07-02,46305.348796
1950-07-03,46305.348796
1950-07-04,46305.348796
1950-07-05,46305.348796
1950-07-06,46305.348796
1950-07-07,46305.348796
1950-07-08,46305.348796
1950-07-09,46305.348796
1950-07-10,46305.348796
1950-07-11,46305.348796
1950-07-12,46305.348796
1950-07-13,46305.348796
1950-07-14,46305.348796
1950-07-15,46305.348796
1950-07-16,46305.348796
1950-07-17,46305.348796
1950-07-18,46305.348796
1950-07-19,46305.348796
1950-07-20,46305.348796
1950-07-21,46305.348796
1950-07-22,46305.348796
1950-07-23,46305.348796
1950-07-24,46305.348796
1950-07-25,46305.348796
1950-07-26,46305.348796
1950-07-27,46305.348796
1950-07-28,46305.348796
1950-07-29,46305.348796
1950-07-30,46305.348796
1950-07-31,46305.348796
1950-08-01,44007.743559
1950-08-02,44007.743559
1950-08-03,44007.743559
1950-08-04,44007.743559
1950-08-05,44007.743559
1950-08-06,44007.743559
1950-08-07,44007.743559
1950-08-08,44007.743559
1950-08-09,44007.743559
1950-08-10,44007.743559
1950-08-11,44007.743559
1950-08-12,44007.743559
1950-08-13,44007.743559
1950-08-14,44007.743559
1950-08-15,44007.743559
1950-08-16,44007.743559
1950-08-17,44007.743559
1950-08-18,44007.743559
1950-08-19,44007.743559
1950-08-20,44007.743559
1950-08-21,44007.743559
1950-08-22,44007.743559
1950-08-23,44007.743559
1950-08-24,44007.743559
1950-08-25,44007.743559
1950-08-26,44007.743559
1950-08-27,44007.743559
1950-08-28,44007.743559
1950-08-29,44007.743559
1950-08-30,44007.743559
1950-08-31,44007.743559
1950-09-01,46558.593710
1950-09-02,46558.593710
1950-09-03,46558.593710
1950-09-04,46558.593710
1950-09-05,46558.593710
1950-09-06,46558.593710
1950-09-07,46558.593710
1950-09-08,46558.593710
1950-09-09,46558.593710
1950-09-10,46558.593710
1950-09-11,46558.593710
