,et0_mm_day
1971-02-01,4.43811
1971-03-01,4.9844236
1971-04-01,5.541436
1971-05-01,4.8018546
1971-06-01,3.9681792
1971-07-01,3.081955
1971-08-01,3.4195483
1971-09-01,3.9711185
1971-10-01,4.172109
1971-11-01,4.409142
1971-12-01,3.9735734
1972-01-01,3.6657453
1972-02-01,4.4958143
1972-03-01,5.1945524
1972-04-01,5.2520185
1972-05-01,4.9450397
1972-06-01,3.9613285
1972-07-01,3.1239839
1972-08-01,3.7753134
1972-09-01,3.9889739
1972-10-01,4.482679
1972-11-01,3.9896295
1972-12-01,3.9241762
1973-01-01,4.1012244
1973-02-01,4.422635
1973-03-01,5.158469
1973-04-01,5.51562
1973-05-01,4.2378607
1973-06-01,4.0166006
1973-07-01,2.8676615
1973-08-01,3.5725236
1973-09-01,3.7373827
1973-10-01,4.3686333
1973-11-01,4.2720585
1973-12-01,3.7306995
1974-01-01,3.6383271
1974-02-01,4.24923
1974-03-01,5.022906
1974-04-01,5.406067
1974-05-01,4.4518857
1974-06-01,3.7315712
1974-07-01,3.1965375
1974-08-01,3.4480617
1974-09-01,3.8394966
1974-10-01,4.453458
1974-11-01,4.3826923
1974-12-01,3.8348436
1975-01-01,3.857188
1975-02-01,4.059091
1975-03-01,5.0471725
1975-04-01,5.2574577
1975-05-01,4.8426466
1975-06-01,3.586814
1975-07-01,3.3608153
1975-08-01,2.952911
1975-09-01,3.6886075
1975-10-01,4.4655876
1975-11-01,4.2613
1975-12-01,3.6585479
1976-01-01,3.8550944
1976-02-01,4.305832
1976-03-01,4.9116316
1976-04-01,5.1779895
1976-05-01,4.3627844
1976-06-01,4.014015
1976-07-01,3.225155
1976-08-01,3.6270394
1976-09-01,3.8588643
1976-10-01,4.413504
1976-11-01,4.1321664
1976-12-01,3.897041
1977-01-01,4.1817427
1977-02-01,4.3345466
1977-03-01,4.733868
1977-04-01,5.940281
1977-05-01,4.4141335
1977-06-01,3.6372914
1977-07-01,3.1411722
1977-08-01,3.2407494
1977-09-01,4.0583463
1977-10-01,4.2420774
1977-11-01,4.2071047
1977-12-01,3.4766645
1978-01-01,3.9431229
1978-02-01,4.8815684
1978-03-01,4.9693623
1978-04-01,5.0308
1978-05-01,4.578136
1978-06-01,3.8301945
1978-07-01,2.760403
1978-08-01,3.3154263
1978-09-01,4.208986
1978-10-01,4.2059197
1978-11-01,4.217189
1978-12-01,3.6549642
1979-01-01,3.8991272
1979-02-01,4.3973775
1979-03-01,5.1167235
1979-04-01,5.26616
1979-05-01,4.191786
1979-06-01,3.8550124
1979-07-01,3.4063532
1979-08-01,3.4047813
1979-09-01,3.9167628
1979-10-01,4.189804
1979-11-01,4.3986516
1979-12-01,3.9924607
1980-01-01,4.193179
1980-02-01,4.032813
1980-03-01,5.041011
1980-04-01,4.991539
1980-05-01,4.71995
1980-06-01,3.858447
1980-07-01,3.5075097
1980-08-01,3.7930906
1980-09-01,4.210554
1980-10-01,4.4757648
1980-11-01,4.1694417
1980-12-01,3.9135292
1981-01-01,3.8802848
1981-02-01,4.447721
1981-03-01,5.2473025
1981-04-01,5.413413
1981-05-01,4.698686
1981-06-01,4.1860046
1981-07-01,3.4604816
1981-08-01,3.7828536
1981-09-01,4.00684
1981-10-01,4.614342
1981-11-01,4.254468
1981-12-01,3.6838725
1982-01-01,3.8590283
1982-02-01,4.4370813
1982-03-01,5.083978
1982-04-01,5.2491946
1982-05-01,4.774429
1982-06-01,3.9812179
1982-07-01,3.5742297
1982-08-01,3.3929796
1982-09-01,3.9585085
1982-10-01,4.2022467
1982-11-01,4.0773973
1982-12-01,3.8095117
1983-01-01,4.1213856
1983-02-01,4.075408
1983-03-01,5.141348
1983-04-01,5.594283
1983-05-01,4.6319065
1983-06-01,3.9729924
1983-07-01,3.5767703
1983-08-01,3.379263
1983-09-01,3.9366558
1983-10-01,4.3768396
1983-11-01,4.0316358
1983-12-01,4.0581336
1984-01-01,4.015833
1984-02-01,4.394211
1984-03-01,4.924044
1984-04-01,5.574435
1984-05-01,4.7084913
1984-06-01,3.8786008
1984-07-01,3.4714713
1984-08-01,3.9481819
1984-09-01,4.117817
1984-10-01,4.773043
1984-11-01,4.214153
1984-12-01,3.5625324
1985-01-01,4.1204915
1985-02-01,4.5929327
1985-03-01,4.901204
1985-04-01,5.1358194
1985-05-01,4.22325
1985-06-01,3.8032606
1985-07-01,3.0204058
1985-08-01,3.340572
1985-09-01,3.530387
1985-10-01,4.3106785
1985-11-01,3.9560087
1985-12-01,3.8342402
1986-01-01,4.09279
1986-02-01,4.5950413
1986-03-01,4.888244
1986-04-01,5.3866954
1986-05-01,5.307719
1986-06-01,3.4012125
1986-07-01,3.309332
1986-08-01,3.4843535
1986-09-01,3.784433
1986-10-01,4.358176
1986-11-01,4.280556
1986-12-01,3.924124
1987-01-01,4.0484147
1987-02-01,4.520088
1987-03-01,4.96272
1987-04-01,5.194679
1987-05-01,4.306421
1987-06-01,3.9938464
1987-07-01,3.7750006
1987-08-01,3.737025
1987-09-01,4.17237
1987-10-01,4.1602926
1987-11-01,4.303381
1987-12-01,3.9039776
1988-01-01,4.1116996
1988-02-01,4.3618455
1988-03-01,5.275756
1988-04-01,5.5841284
1988-05-01,4.6139135
1988-06-01,3.9259343
1988-07-01,3.0710845
1988-08-01,3.233932
1988-09-01,3.9090998
1988-10-01,4.3509154
1988-11-01,4.3852777
1988-12-01,3.792666
1989-01-01,4.09168
1989-02-01,4.5572443
1989-03-01,5.0015597
1989-04-01,5.207047
1989-05-01,4.8193784
1989-06-01,3.9784238
1989-07-01,3.4487321
1989-08-01,3.7616193
1989-09-01,4.006684
1989-10-01,4.2560773
1989-11-01,4.296593
1989-12-01,3.8092659
1990-01-01,3.901787
1990-02-01,4.8826785
1990-03-01,4.9903765
1990-04-01,5.4563174
1990-05-01,5.3293295
1990-06-01,4.343875
1990-07-01,3.51163
1990-08-01,3.826663
1990-09-01,4.073184
1990-10-01,4.612949
1990-11-01,4.18666
1990-12-01,3.8783922
1991-01-01,4.22965
1991-02-01,4.530206
1991-03-01,5.268544
1991-04-01,5.282357
1991-05-01,4.996292
1991-06-01,4.1562767
1991-07-01,3.244847
1991-08-01,3.6189034
1991-09-01,4.03139
1991-10-01,4.455425
1991-11-01,4.127301
1991-12-01,3.7871747
1992-01-01,3.652945
1992-02-01,4.594713
1992-03-01,4.6753883
1992-04-01,5.241543
1992-05-01,4.991699
1992-06-01,4.0839763
1992-07-01,3.3914373
1992-08-01,3.1487122
1992-09-01,3.8887634
1992-10-01,3.993474
1992-11-01,3.8860738
1992-12-01,3.7241578
1993-01-01,4.0323734
1993-02-01,4.3759346
1993-03-01,4.9468727
1993-04-01,4.8234015
1993-05-01,4.5217423
1993-06-01,3.9364398
1993-07-01,3.5244079
1993-08-01,3.8056076
1993-09-01,3.9290934
1993-10-01,4.3179393
1993-11-01,4.1361117
1993-12-01,3.953494
1994-01-01,3.8092434
1994-02-01,4.5095162
1994-03-01,5.4170117
1994-04-01,5.252928
1994-05-01,4.8313365
1994-06-01,3.992237
1994-07-01,2.945043
1994-08-01,3.280878
1994-09-01,4.0394588
1994-10-01,4.7697573
1994-11-01,4.2585807
1994-12-01,4.0943027
1995-01-01,4.164986
1995-02-01,4.5493617
1995-03-01,4.8943086
1995-04-01,5.730286
1995-05-01,4.8472285
1995-06-01,4.2156878
1995-07-01,3.0181184
1995-08-01,3.4968927
1995-09-01,3.9064884
1995-10-01,4.628487
1995-11-01,4.2708254
1995-12-01,3.7753656
1996-01-01,4.064508
1996-02-01,4.5486093
1996-03-01,4.998751
1996-04-01,5.197458
1996-05-01,4.4645743
1996-06-01,3.7616267
1996-07-01,3.3163056
1996-08-01,3.5687833
1996-09-01,3.756486
1996-10-01,4.507281
1996-11-01,4.091285
1996-12-01,3.7837253
1997-01-01,4.0589123
1997-02-01,4.5863614
1997-03-01,5.0396843
1997-04-01,4.9939675
1997-05-01,4.785564
1997-06-01,3.8849115
1997-07-01,3.3129752
1997-08-01,3.7254543
1997-09-01,4.2450876
1997-10-01,4.1400867
1997-11-01,3.9977393
1997-12-01,4.012447
1998-01-01,4.1585565
1998-02-01,4.744783
1998-03-01,5.128324
1998-04-01,5.7440066
1998-05-01,4.8296676
1998-06-01,4.3295846
1998-07-01,3.1441674
1998-08-01,3.137782
1998-09-01,3.7928894
1998-10-01,4.204802
1998-11-01,4.432544
1998-12-01,3.9637313
1999-01-01,3.7116857
1999-02-01,4.510097
1999-03-01,5.4162292
1999-04-01,5.6367965
1999-05-01,5.15037
1999-06-01,4.220553
1999-07-01,3.2220185
1999-08-01,3.5038664
1999-09-01,3.9191358
1999-10-01,4.023321
1999-11-01,4.4159594
1999-12-01,3.6760716
2000-01-01,4.1349306
2000-02-01,4.579164
2000-03-01,5.278595
2000-04-01,5.0165877
2000-05-01,5.043574
2000-06-01,3.9725528
2000-07-01,3.3561215
2000-08-01,3.1952858
2000-09-01,4.134223
2000-10-01,4.048977
2000-11-01,4.1375384
2000-12-01,3.7367792
2001-01-01,4.1245074
2001-02-01,4.253052
2001-03-01,5.1265583
2001-04-01,5.002141
2001-05-01,5.123027
2001-06-01,3.749989
2001-07-01,3.3515394
2001-08-01,3.2033772
2001-09-01,4.0121675
2001-10-01,4.1360035
2001-11-01,4.3551326
2001-12-01,3.871478
2002-01-01,4.1063128
2002-02-01,4.3727756
2002-03-01,5.109474
2002-04-01,5.8132634
2002-05-01,5.4349976
2002-06-01,4.102878
2002-07-01,3.9071515
2002-08-01,3.8114338
2002-09-01,4.10296
2002-10-01,4.591197
2002-11-01,4.317351
2002-12-01,4.19306
2003-01-01,3.9674268
2003-02-01,4.59113
2003-03-01,4.891947
2003-04-01,5.84605
2003-05-01,5.490385
2003-06-01,4.12184
2003-07-01,3.1820536
2003-08-01,3.2541008
2003-09-01,3.9905162
2003-10-01,4.759133
2003-11-01,4.424475
2003-12-01,3.9589405
2004-01-01,4.00877
2004-02-01,4.484512
2004-03-01,5.133882
2004-04-01,5.4113193
2004-05-01,5.4154916
2004-06-01,3.732793
2004-07-01,3.6813617
