date,price_eur_kwh
1950-01-01,0.021817
1950-01-02,0.021827
1950-01-03,0.021838
1950-01-04,0.021847
1950-01-05,0.021856
1950-01-06,0.021864
1950-01-07,0.021871
1950-01-08,0.021878
1950-01-09,0.021884
1950-01-10,0.021889
1950-01-11,0.021893
1950-01-12,0.021897
1950-01-13,0.021900
1950-01-14,0.021902
1950-01-15,0.021903
1950-01-16,0.021904
1950-01-17,0.021904
1950-01-18,0.021903
1950-01-19,0.021902
1950-01-20,0.021900
1950-01-21,0.021897
1950-01-22,0.021894
1950-01-23,0.021889
1950-01-24,0.021884
1950-01-25,0.021879
1950-01-26,0.021872
1950-01-27,0.021865
1950-01-28,0.021858
1950-01-29,0.021849
1950-01-30,0.021840
1950-01-31,0.021830
1950-02-01,0.021820
1950-02-02,0.021809
1950-02-03,0.021797
1950-02-04,0.021785
1950-02-05,0.021771
1950-02-06,0.021758
1950-02-07,0.021743
1950-02-08,0.021728
1950-02-09,0.021713
1950-02-10,0.021696
1950-02-11,0.021679
1950-02-12,0.021662
1950-02-13,0.021644
1950-02-14,0.021625
1950-02-15,0.021606
1950-02-16,0.021586
1950-02-17,0.021565
1950-02-18,0.021544
1950-02-19,0.021522
1950-02-20,0.021500
1950-02-21,0.021477
1950-02-22,0.021454
1950-02-23,0.021430
1950-02-24,0.021405
1950-02-25,0.021380
1950-02-26,0.021355
1950-02-27,0.021328
1950-02-28,0.021302
1950-03-01,0.021275
1950-03-02,0.021247
1950-03-03,0.021219
1950-03-04,0.021190
1950-03-05,0.021161
1950-03-06,0.021132
1950-03-07,0.021102
1950-03-08,0.021071
1950-03-09,0.021040
1950-03-10,0.021009
1950-03-11,0.020977
1950-03-12,0.020945
1950-03-13,0.020912
1950-03-14,0.020879
1950-03-15,0.020846
1950-03-16,0.020812
1950-03-17,0.020778
1950-03-18,0.020743
1950-03-19,0.020708
1950-03-20,0.020673
1950-03-21,0.020637
1950-03-22,0.020601
1950-03-23,0.020565
1950-03-24,0.020528
1950-03-25,0.020491
1950-03-26,0.020454
1950-03-27,0.020416
1950-03-28,0.020379
1950-03-29,0.020340
1950-03-30,0.020302
1950-03-31,0.020263
1950-04-01,0.020225
1950-04-02,0.020186
1950-04-03,0.020146
1950-04-04,0.020107
1950-04-05,0.020067
1950-04-06,0.020027
1950-04-07,0.019987
1950-04-08,0.019947
1950-04-09,0.019906
1950-04-10,0.019866
1950-04-11,0.019825
1950-04-12,0.019784
1950-04-13,0.019743
1950-04-14,0.019702
1950-04-15,0.019661
1950-04-16,0.019620
1950-04-17,0.019579
1950-04-18,0.019537
1950-04-19,0.019496
1950-04-20,0.019455
1950-04-21,0.019413
1950-04-22,0.019372
1950-04-23,0.019330
1950-04-24,0.019289
1950-04-25,0.019247
1950-04-26,0.019206
1950-04-27,0.019165
1950-04-28,0.019124
1950-04-29,0.019083
1950-04-30,0.019041
1950-05-01,0.019001
1950-05-02,0.018960
1950-05-03,0.018919
1950-05-04,0.018878
1950-05-05,0.018838
1950-05-06,0.018798
1950-05-07,0.018758
1950-05-08,0.018718
1950-05-09,0.018678
1950-05-10,0.018639
1950-05-11,0.018600
1950-05-12,0.018561
1950-05-13,0.018522
1950-05-14,0.018484
1950-05-15,0.018446
1950-05-16,0.018408
1950-05-17,0.018370
1950-05-18,0.018333
1950-05-19,0.018296
1950-05-20,0.018260
1950-05-21,0.018223
1950-05-22,0.018188
1950-05-23,0.018152
1950-05-24,0.018117
1950-05-25,0.018083
1950-05-26,0.018049
1950-05-27,0.018015
1950-05-28,0.017982
1950-05-29,0.017949
1950-05-30,0.017916
1950-05-31,0.017884
1950-06-01,0.017853
1950-06-02,0.017822
1950-06-03,0.017792
1950-06-04,0.017762
1950-06-05,0.017733
1950-06-06,0.017704
1950-06-07,0.017676
1950-06-08,0.017648
1950-06-09,0.017621
1950-06-10,0.017594
1950-06-11,0.017568
1950-06-12,0.017543
1950-06-13,0.017518
1950-06-14,0.017494
1950-06-15,0.017471
1950-06-16,0.017448
1950-06-17,0.017426
1950-06-18,0.017404
1950-06-19,0.017383
1950-06-20,0.017363
1950-06-21,0.017343
1950-06-22,0.017324
1950-06-23,0.017306
1950-06-24,0.017289
1950-06-25,0.017272
1950-06-26,0.017255
1950-06-27,0.017240
1950-06-28,0.017225
1950-06-29,0.017211
1950-06-30,0.017198
1950-07-01,0.017185
1950-07-02,0.017173
1950-07-03,0.017162
1950-07-04,0.017151
