# era5_prcp_-0.17_31.37  era5_prcp_-1.86_34.52  era5_prcp_-1.94_35.1  era5_prcp_-1.83_30.42
2.549 1.805 1.986 7.193
7.955 2.350 1.563 15.544
6.901 4.742 8.379 9.688
8.202 3.819 5.734 9.425
0.983 6.134 9.904 2.961
0.376 3.333 1.945 4.506
6.355 11.197 12.711 6.951
6.082 2.300 7.490 3.736
4.163 13.488 10.817 2.116
8.722 7.547 10.733 6.686
2.395 11.859 4.571 11.921
4.913 9.376 7.560 7.208
6.675 4.527 2.455 10.558
10.030 4.126 6.078 14.508
7.747 5.773 5.655 4.488
1.518 0.427 0.221 12.773
0.595 2.032 4.586 0.759
0.623 0.978 0.458 1.120
6.636 0.743 2.118 5.118
8.432 0.387 1.250 4.999
3.203 3.066 0.619 17.935
3.542 0.508 0.370 8.235
0.715 0.360 0.118 0.772
2.082 2.746 6.583 8.273
8.351 8.477 9.015 2.410
2.215 5.123 2.108 9.411
0.426 0.108 0.183 1.817
6.133 0.258 0.139 6.657
2.217 0.066 0.339 8.833
7.193 1.687 3.499 0.580
6.839 4.568 1.557 4.934
4.971 0.751 0.224 9.704
2.134 0.196 0.326 14.708
5.282 0.062 0.098 3.212
1.044 0.064 0.060 0.008
1.216 0.041 0.147 0.325
0.423 0.060 0.147 0.272
0.198 0.050 0.187 0.096
0.186 0.372 0.339 0.089
3.838 0.254 0.306 0.169
0.761 1.542 4.080 0.032
0.015 4.267 4.710 0.029
1.127 2.795 1.366 0.493
4.872 0.801 0.753 0.671
2.308 7.888 4.115 0.324
2.605 0.576 0.820 0.237
10.451 0.368 0.138 1.539
10.336 0.053 0.312 0.534
0.069 0.021 0.199 0.010
0.611 0.086 0.090 0.007
0.544 0.119 0.273 0.013
0.696 0.095 0.328 0.017
3.953 0.186 0.431 0.011
2.701 0.364 0.551 0.126
0.356 0.009 0.001 0.005
0.241 0.167 0.137 0.001
5.266 0.124 0.395 0.001
2.837 0.767 1.476 0.001
7.811 4.136 8.370 1.922
10.622 4.703 13.547 20.215
0.177 5.233 6.702 9.020
0.583 5.239 10.532 9.458
6.179 0.249 0.170 10.671
2.057 0.000 0.000 0.070
0.001 0.006 0.005 0.001
0.006 0.014 0.035 0.000
0.348 0.034 0.266 0.023
0.484 0.048 0.221 0.030
1.075 0.002 0.002 0.070
0.264 0.001 0.200 0.001
0.003 0.173 1.385 0.003
0.002 0.183 0.103 0.002
0.001 1.986 0.062 0.001
0.001 0.001 0.001 0.001
0.072 0.000 0.063 0.000
1.000 0.175 0.256 0.001
3.376 0.004 0.063 0.000
0.065 0.205 0.117 0.001
0.264 0.087 0.086 0.001
4.442 0.043 0.058 0.000
3.817 0.019 0.171 0.019
0.041 0.016 0.360 0.000
0.351 0.014 0.056 0.000
2.333 0.005 0.054 0.002
4.053 0.008 0.073 0.001
0.151 0.119 1.253 0.002
0.862 0.400 2.241 0.030
0.203 1.674 0.605 0.025
1.232 0.027 0.048 0.055
4.610 0.000 0.000 0.327
4.004 0.014 0.001 0.031
3.232 0.002 0.011 0.035
1.452 0.001 0.059 0.002
0.030 2.796 1.332 0.100
2.991 1.861 2.090 0.008
7.716 0.000 0.009 0.006
0.042 0.000 0.000 0.000
0.410 0.309 0.207 0.000
5.282 0.208 0.118 0.223
2.667 0.003 0.005 0.289
0.920 0.044 0.006 0.001
0.687 0.294 0.066 0.000
0.053 0.408 0.281 0.000
14.810 3.952 6.660 0.614
3.580 11.455 7.050 10.282
4.006 4.044 0.215 3.761
2.294 0.001 0.002 0.216
2.959 0.360 0.252 0.371
6.382 0.530 0.064 0.673
3.200 0.532 0.104 0.065
0.904 0.642 0.001 0.002
0.018 0.000 0.000 0.000
0.002 0.043 0.103 0.000
2.247 1.506 0.119 0.002
7.733 0.086 0.037 0.906
4.636 0.035 0.355 0.604
0.792 0.128 0.255 0.446
1.103 0.001 0.001 0.309
0.624 0.000 0.002 0.000
1.819 0.305 0.237 0.002
0.143 0.010 0.039 0.001
2.640 14.331 12.225 0.001
3.659 0.080 0.858 1.515
1.952 5.929 9.616 4.919
2.286 3.243 2.305 4.667
7.721 0.183 0.156 15.798
10.439 3.099 0.033 11.820
4.401 0.006 0.120 6.089
0.894 0.157 0.057 3.525
1.272 12.107 1.000 8.645
2.318 1.763 0.343 2.006
0.451 0.083 0.017 0.610
7.434 3.032 0.327 0.041
0.939 1.096 5.479 0.101
2.595 0.210 0.060 0.702
11.389 2.627 0.262 14.393
3.903 16.552 4.676 3.631
8.119 1.032 0.193 9.480
6.924 2.381 0.913 14.732
3.036 3.567 2.124 3.654
3.174 0.035 0.126 3.819
5.396 0.189 0.270 2.946
4.844 0.042 0.003 14.638
6.203 0.002 0.015 0.466
1.798 0.011 0.154 0.087
3.294 0.073 0.390 0.753
4.800 0.028 0.018 0.609
0.100 0.001 0.001 0.237
2.782 0.000 0.006 0.346
1.424 0.003 0.003 0.309
2.580 0.069 0.023 0.364
3.386 8.042 1.452 2.077
1.790 3.396 0.732 0.729
7.884 0.323 0.004 9.265
1.424 0.017 0.060 7.536
0.694 0.082 0.078 0.776
2.071 0.003 0.278 0.663
3.544 0.005 0.020 0.669
3.131 0.068 0.025 1.108
1.690 0.154 0.070 3.158
0.794 0.112 0.000 0.934
4.757 0.031 0.040 0.227
3.861 0.020 0.090 0.897
3.076 0.106 0.294 0.298
3.889 0.332 0.353 8.868
2.519 0.024 0.108 7.805
0.636 0.013 0.659 0.849
5.727 0.509 0.126 0.664
0.698 6.969 7.038 15.298
12.050 3.781 3.033 11.857
1.382 20.564 36.279 9.727
5.069 9.224 58.337 9.005
6.508 6.201 4.435 1.468
4.142 0.348 0.036 10.939
3.932 0.073 0.098 9.714
1.652 0.186 0.086 5.836
2.404 0.077 0.050 6.714
1.044 0.403 0.463 8.213
5.593 2.149 0.591 3.871
5.271 0.131 0.141 3.977
2.137 4.297 3.723 2.708
1.368 1.464 0.672 3.240
5.299 0.003 0.000 13.347
2.700 0.914 0.366 3.757
2.535 12.650 4.623 0.135
4.182 15.323 1.750 7.644
2.450 1.229 0.350 3.119
11.716 10.079 3.859 12.052
18.758 12.174 21.937 27.089
14.537 26.994 43.381 10.868
15.693 20.412 48.533 5.817
2.333 5.988 11.377 3.961
6.512 11.380 4.129 2.173
7.135 3.696 3.878 5.453
0.902 3.926 9.410 4.443
2.097 3.921 12.397 4.277
2.790 7.700 1.708 4.900
2.041 15.744 8.434 8.252
6.770 11.080 3.322 0.950
4.016 16.958 2.340 4.242
0.189 0.090 0.222 0.759
1.471 0.048 0.035 0.709
0.342 0.011 0.023 0.620
0.725 0.071 0.069 0.627
2.364 2.227 0.647 0.710
8.334 0.487 0.233 9.350
4.062 3.759 3.930 0.449
2.466 2.391 0.407 1.377
3.734 2.176 2.543 7.801
5.527 9.545 6.155 8.257
9.557 7.644 11.700 11.056
4.453 0.435 0.212 0.396
2.623 0.080 0.266 1.041
1.228 0.763 0.054 1.491
5.883 2.407 0.044 3.351
4.831 2.392 0.146 2.238
4.545 8.194 3.934 12.045
3.141 5.533 2.194 0.396
0.215 2.127 0.114 0.686
0.451 0.104 0.100 0.855
0.861 1.813 0.188 0.204
4.005 3.042 4.915 1.932
7.978 0.135 0.095 1.804
5.098 1.276 1.040 7.290
5.502 9.806 1.948 1.418
7.756 8.256 15.948 1.459
2.589 6.275 9.019 0.835
7.253 9.508 16.935 0.196
0.506 9.844 4.975 0.620
0.758 1.282 8.945 3.633
0.956 0.066 0.203 0.602
0.786 1.345 0.450 0.185
0.445 0.140 0.355 0.883
5.615 0.724 0.395 8.395
10.300 0.495 0.183 2.017
0.401 12.736 22.630 0.696
1.929 8.024 2.128 2.857
3.923 3.002 0.207 0.507
0.136 0.037 0.002 2.381
1.606 0.102 0.993 0.015
3.317 13.828 10.730 11.886
5.156 7.383 4.220 7.656
5.770 4.300 4.864 3.365
7.462 8.676 8.585 0.881
3.035 7.222 14.360 0.179
1.077 11.657 30.348 1.530
2.614 16.566 12.668 6.465
0.731 17.932 22.337 7.735
0.471 11.571 16.966 7.685
2.919 9.415 18.260 4.683
5.264 3.080 1.438 1.138
0.388 11.058 10.074 2.180
0.088 10.140 10.219 5.827
0.001 9.163 23.581 0.403
1.688 4.931 4.165 6.179
1.769 15.442 11.198 3.620
4.900 3.627 2.639 2.971
3.732 10.223 1.882 1.739
0.218 5.943 6.090 0.570
6.576 0.660 0.553 0.639
5.160 1.430 0.586 2.677
1.290 0.186 0.167 1.222
0.285 0.041 0.111 1.142
0.355 0.105 0.002 1.467
0.005 2.470 4.878 0.038
1.594 0.274 0.096 0.183
1.316 1.109 2.889 2.963
4.599 1.929 0.253 0.530
0.008 6.286 0.180 0.542
0.474 2.582 0.303 0.021
0.012 0.000 0.000 0.164
0.074 0.001 0.001 0.003
0.336 0.000 0.000 0.007
0.040 0.003 0.009 0.035
0.109 0.228 0.003 5.334
0.138 0.095 0.159 0.152
0.557 6.252 0.884 0.778
2.112 4.536 3.791 2.386
3.371 0.673 1.083 4.612
1.097 6.599 6.809 3.234
0.640 4.674 3.311 8.166
3.059 9.879 7.630 1.026
5.751 3.118 3.108 6.770
0.002 2.060 1.247 0.183
0.482 0.022 0.013 0.195
0.012 0.004 0.004 0.038
2.281 0.544 0.319 0.107
2.159 0.028 0.017 0.052
0.086 0.518 0.461 0.593
0.497 0.521 0.079 0.145
0.346 0.013 0.070 0.072
3.789 2.285 2.784 10.633
1.861 3.048 1.998 7.596
6.675 3.401 10.515 7.478
3.831 10.988 9.152 0.279
1.336 3.204 5.994 0.623
1.215 0.991 1.918 0.502
0.199 0.148 0.361 0.181
0.852 0.144 0.162 0.275
2.352 2.423 0.730 1.296
0.485 6.912 10.318 0.878
1.469 3.400 2.918 0.571
0.758 5.882 0.495 1.072
1.511 0.001 0.001 1.955
0.063 0.002 0.002 0.264
0.253 0.000 0.000 0.000
0.118 0.000 0.000 0.266
2.897 0.000 0.000 0.195
0.138 0.006 0.006 0.013
0.093 0.002 0.030 0.031
0.097 0.001 0.009 0.197
1.139 0.003 0.124 0.202
0.465 0.015 0.062 1.300
0.800 0.254 0.282 1.259
1.268 2.244 2.767 8.040
6.639 13.558 9.196 9.652
8.282 7.932 10.436 5.846
0.167 5.191 0.698 0.642
6.187 5.176 24.531 8.098
0.556 10.696 15.066 3.582
7.818 8.843 12.998 1.178
0.987 0.869 0.934 8.822
11.615 5.097 0.716 6.571
0.250 0.059 0.051 0.598
4.468 0.160 0.267 1.591
0.854 0.389 0.158 0.340
2.977 0.084 0.141 3.154
5.949 13.010 7.844 13.776
4.674 5.878 14.169 5.786
3.117 4.676 0.648 14.052
0.696 1.905 2.087 11.372
1.128 0.548 0.034 4.741
0.813 1.468 0.559 1.171
4.010 7.705 0.822 3.205
1.478 4.649 1.454 9.014
5.521 13.483 29.258 6.707
14.726 20.697 12.603 5.108
1.373 6.440 8.563 0.248
8.382 11.920 22.507 13.613
12.432 28.043 43.460 14.438
1.614 2.823 5.930 4.617
4.425 0.172 0.326 0.693
3.059 4.011 3.378 4.582
4.751 15.357 14.966 2.715
0.154 17.213 13.661 7.176
11.114 8.391 6.546 14.585
18.319 14.933 21.447 8.132
1.765 7.751 7.110 6.116
6.925 9.654 4.918 4.810
7.922 6.087 2.007 4.224
12.012 15.941 15.908 14.215
12.469 10.918 13.904 4.586
1.406 4.054 4.874 1.008
1.541 6.591 0.554 9.235
3.375 5.086 9.945 5.887
6.962 23.645 16.738 7.585
6.657 7.664 21.855 1.802
4.692 3.189 5.591 1.303
0.490 5.998 2.042 1.377
6.010 8.185 4.740 4.298
6.679 7.595 10.593 2.349
2.598 7.379 12.833 7.979
2.363 3.767 12.434 3.165
2.160 2.159 0.255 6.424
3.133 0.175 0.253 1.769
2.972 0.395 0.250 1.887
6.016 7.680 6.504 0.931
7.048 1.744 0.543 5.804
2.459 2.869 0.745 10.305
8.253 15.137 7.318 14.851
1.183 1.826 0.537 15.487
2.522 1.471 0.534 6.919
16.410 9.926 2.293 16.571
6.354 0.221 0.571 13.229
5.572 0.995 0.399 25.810
7.806 2.020 1.577 9.327
5.084 13.857 3.818 13.699
3.373 6.540 7.314 2.442
5.525 7.781 15.465 8.008
6.459 5.660 4.870 3.071
3.061 2.396 2.565 9.178
7.644 0.193 0.033 2.301
3.197 0.012 0.001 0.248
0.959 0.155 0.256 0.114
1.245 0.086 0.118 0.069
0.663 0.013 0.003 0.372
0.568 0.015 0.006 0.005
0.315 0.008 0.000 0.000
0.157 0.000 0.001 0.047
0.100 0.043 0.140 0.014
0.278 0.300 2.251 0.055
0.761 3.337 7.552 0.255
0.697 1.867 1.706 0.359
0.561 0.101 0.180 0.343
0.170 0.020 0.137 0.424
0.495 0.006 0.029 0.596
0.451 0.046 0.245 0.372
0.711 0.021 0.316 0.668
4.778 0.056 0.280 0.030
0.497 0.027 0.176 0.073
0.616 0.491 0.232 0.273
2.837 0.142 0.059 0.579
0.193 0.001 0.001 0.001
0.001 0.167 0.526 0.011
0.184 0.027 0.221 0.005
0.158 0.026 0.145 0.002
0.212 0.000 0.063 0.000
0.002 0.002 0.016 0.002
0.001 0.006 0.034 0.001
0.002 0.071 0.251 0.002
0.002 0.348 2.163 0.002
0.147 0.031 0.021 0.000
0.018 0.059 0.216 0.000
0.191 0.315 0.582 0.004
0.011 1.700 0.341 0.002
2.566 0.470 1.508 0.008
0.073 0.489 1.287 0.002
4.659 0.016 0.105 0.004
0.221 0.000 0.007 0.000
0.208 0.065 0.072 0.000
0.055 0.117 0.148 0.006
0.321 0.075 0.203 0.002
0.392 0.002 0.002 0.012
0.152 0.004 0.059 0.002
0.308 0.017 0.012 0.001
0.365 0.060 0.403 0.001
0.397 0.691 1.864 0.006
4.264 0.009 0.108 0.000
0.173 0.035 0.093 0.000
0.475 0.216 0.271 0.011
1.655 0.157 0.153 0.001
0.805 0.341 0.159 0.007
4.704 0.503 1.003 0.001
0.308 0.216 0.498 0.000
1.334 0.068 0.533 0.100
0.738 0.000 0.000 0.081
0.346 0.001 0.001 0.023
0.014 0.000 0.000 0.000
0.000 0.000 0.241 0.000
0.001 0.041 0.039 0.001
0.000 0.000 0.088 0.000
0.002 0.002 0.002 0.002
0.000 0.000 0.364 0.000
0.001 0.036 0.600 0.001
0.000 0.000 0.000 0.000
0.001 0.001 0.001 0.001
0.000 0.000 0.000 0.000
0.002 0.002 0.002 0.002
0.000 0.002 0.012 0.000
0.093 0.027 0.835 0.002
0.022 0.005 0.167 0.000
0.007 0.063 0.001 0.000
0.108 0.246 0.018 0.000
0.013 1.519 0.044 0.000
0.172 0.036 0.124 0.000
0.115 0.002 0.001 0.001
0.005 0.197 0.654 0.001
0.030 2.192 1.110 0.001
0.299 0.000 0.019 0.001
1.060 0.005 0.028 0.001
4.806 1.591 0.491 0.050
8.059 0.033 0.002 0.465
6.028 0.010 0.043 0.832
6.694 0.276 0.145 0.046
7.402 0.815 0.302 0.048
0.855 0.996 0.378 0.375
5.969 0.057 0.209 0.081
9.319 0.866 0.384 0.048
1.119 0.278 0.703 1.823
2.578 0.203 0.600 0.622
5.486 1.711 3.234 1.710
3.481 0.009 0.242 0.120
1.528 0.156 0.005 0.000
1.716 0.225 0.113 0.001
1.591 1.786 0.282 0.014
1.535 0.270 0.131 0.510
0.070 0.281 0.292 0.014
1.503 1.425 1.660 0.118
5.008 9.766 1.903 6.403
3.900 2.270 1.296 2.691
4.263 0.341 0.011 1.442
3.324 0.769 0.100 0.564
0.582 0.019 0.001 0.106
1.093 0.041 0.039 0.003
1.193 0.041 0.273 1.685
6.763 0.005 0.000 0.001
0.714 0.001 0.000 0.000
0.021 0.002 0.002 0.002
0.000 0.000 0.002 0.000
0.064 0.024 0.032 0.000
0.165 0.009 0.146 0.002
1.274 0.031 0.042 0.052
4.567 0.120 0.316 15.080
5.070 0.439 0.007 10.413
4.644 1.337 0.035 14.123
2.878 2.664 0.088 7.705
0.433 0.472 0.015 0.012
0.072 0.003 0.001 0.001
1.302 0.528 0.598 0.000
3.542 0.027 0.096 4.392
1.704 0.094 0.295 0.245
0.455 0.071 0.189 0.713
0.876 0.059 0.084 2.789
1.309 0.002 0.001 1.157
0.779 0.035 0.217 0.256
0.316 0.001 0.021 0.484
7.624 0.000 0.000 0.066
0.521 0.001 0.005 0.055
0.034 0.000 0.000 0.267
0.227 1.940 3.804 0.668
13.741 7.612 2.460 1.802
13.465 4.307 5.003 4.117
9.280 11.264 15.454 13.443
0.751 6.369 2.755 0.617
1.771 3.478 2.962 0.350
2.684 0.366 0.011 13.157
10.990 0.024 0.601 0.457
2.931 3.209 12.833 7.666
4.541 6.597 12.418 1.294
0.407 2.880 0.129 3.558
6.805 1.514 0.475 3.986
4.484 8.174 0.696 8.962
5.644 2.330 0.323 3.044
7.662 3.033 1.144 13.251
6.017 1.286 1.052 15.146
8.635 0.378 0.199 17.368
3.023 0.033 0.003 1.723
1.042 0.017 0.063 0.622
1.104 0.002 0.001 0.032
7.573 0.018 0.034 0.146
2.071 0.003 0.402 0.102
7.769 0.217 0.009 11.278
6.754 2.090 0.558 7.345
8.641 0.001 0.091 11.799
1.821 0.000 0.000 3.562
1.101 0.156 0.302 0.166
2.094 1.097 0.643 0.833
1.009 0.001 0.063 0.068
4.595 0.001 0.001 0.001
0.042 0.000 0.001 0.000
0.770 0.021 0.103 0.005
3.175 0.053 0.234 0.405
5.450 0.004 0.013 0.820
3.106 0.013 0.064 0.484
5.290 1.480 0.285 0.171
0.938 0.987 0.486 0.803
5.944 0.177 0.004 0.413
2.145 0.019 0.002 0.655
0.387 0.008 0.000 0.184
0.597 1.085 0.007 0.229
0.265 0.501 0.140 2.486
4.833 0.037 0.573 18.244
4.868 6.219 1.726 0.390
0.683 0.320 0.149 0.539
2.758 0.038 0.283 0.909
0.518 3.485 0.197 0.316
2.794 2.226 0.415 18.243
14.292 2.241 0.256 26.455
5.765 1.463 0.160 3.812
2.362 7.264 3.349 8.942
1.828 7.631 13.071 5.114
10.526 24.380 85.292 4.956
8.349 22.455 50.856 5.640
0.274 0.935 0.056 0.308
0.721 3.904 0.161 8.967
6.967 0.137 0.128 2.271
0.266 0.247 0.189 0.520
5.237 0.070 0.181 4.187
4.218 0.046 0.045 6.158
4.496 0.733 0.186 9.762
0.322 0.527 0.347 0.370
4.193 1.826 0.290 0.424
2.584 2.649 9.673 9.771
8.001 8.965 4.690 5.552
2.403 9.756 10.218 16.661
5.032 11.387 12.273 5.099
4.502 9.824 11.549 14.056
3.271 11.108 5.267 6.710
6.334 6.712 2.891 4.348
6.681 4.109 1.250 7.152
7.412 2.194 0.640 10.252
0.958 0.174 0.215 3.968
0.560 0.205 0.474 1.594
0.823 0.245 0.325 0.818
1.141 0.960 2.741 0.745
5.339 0.242 0.069 2.810
5.513 0.617 0.452 1.542
5.742 1.952 3.113 5.432
2.172 4.663 13.235 6.335
10.186 13.868 12.720 9.721
2.303 7.398 15.716 0.612
5.558 8.323 11.713 6.420
0.158 6.983 6.430 0.250
7.165 1.661 0.494 3.495
2.597 15.167 15.554 7.801
8.679 9.333 10.416 6.806
7.152 17.816 9.387 5.891
8.910 15.435 6.992 9.575
0.208 5.301 14.860 1.269
0.000 9.351 15.684 0.171
0.057 5.444 12.267 16.463
0.049 10.091 17.471 1.766
0.368 0.409 0.255 1.333
0.003 0.681 0.423 0.646
0.723 0.134 0.493 0.074
0.172 0.407 0.365 0.015
0.085 0.403 0.463 0.063
0.002 0.562 0.276 0.171
2.143 0.092 0.095 0.744
1.540 0.003 0.002 2.224
0.137 0.092 0.293 0.213
0.026 0.942 0.034 0.336
3.805 0.535 0.539 5.255
6.858 2.375 0.850 13.490
3.778 9.982 13.801 9.096
7.739 3.736 5.484 9.295
0.375 6.650 9.635 1.367
2.098 0.226 0.421 2.349
0.290 0.014 0.034 0.086
0.005 0.014 0.247 0.201
0.004 0.069 0.096 0.173
0.002 0.054 0.062 0.037
0.521 5.063 4.148 0.574
2.049 7.294 11.572 1.243
2.026 1.964 0.646 6.647
0.595 0.003 0.001 1.214
0.002 2.343 0.938 0.386
0.001 0.386 0.379 0.144
0.001 1.059 0.037 0.024
0.790 0.154 0.046 0.409
0.609 0.001 0.012 0.174
0.076 1.579 2.918 0.114
0.003 3.690 3.971 0.122
2.243 0.515 2.632 0.153
3.707 5.318 19.254 1.773
6.550 5.258 13.687 6.470
4.070 8.788 9.441 6.615
0.890 4.539 8.876 8.455
2.765 0.916 0.403 1.679
4.049 0.062 0.236 11.040
1.295 0.148 0.301 0.097
2.129 1.978 1.008 2.591
1.800 1.055 1.543 0.495
0.371 0.074 0.049 0.124
0.056 0.009 0.168 0.067
0.211 0.004 0.003 0.005
1.000 0.029 0.013 0.184
0.866 1.220 0.424 0.563
1.974 6.002 1.751 5.137
0.500 6.952 5.527 0.835
1.969 1.986 0.708 5.505
1.069 11.647 16.586 0.908
0.070 7.725 7.591 0.130
0.302 1.325 3.201 2.023
0.001 0.297 0.274 0.065
0.000 0.251 0.563 0.703
0.002 0.065 0.013 0.019
0.001 2.215 0.343 6.907
0.004 0.011 0.008 2.229
0.002 0.008 0.010 0.288
0.000 0.194 0.150 0.000
0.001 4.026 6.077 0.001
0.001 0.116 0.321 0.239
0.000 0.042 3.899 0.384
0.000 7.700 22.296 0.165
0.049 25.583 11.292 0.134
4.742 1.206 3.306 5.999
4.279 0.262 0.013 1.265
9.574 3.031 2.080 4.839
6.844 2.739 5.547 4.252
8.442 0.153 0.241 13.425
2.512 0.000 0.000 16.230
0.434 0.009 0.023 0.719
0.153 0.000 0.000 0.324
0.299 0.002 0.104 0.218
1.064 0.002 0.003 5.916
0.000 0.000 0.004 0.236
0.685 0.003 0.131 0.207
0.062 0.191 0.190 1.495
0.912 16.058 11.211 9.415
3.907 4.701 1.990 1.958
0.990 0.147 0.206 2.341
0.387 0.002 0.087 0.729
0.275 0.000 0.115 0.659
6.986 4.750 2.949 11.017
2.993 6.631 3.677 4.927
2.643 10.642 9.788 0.346
2.875 8.779 12.653 1.349
4.047 0.159 1.684 8.031
8.513 4.010 1.184 8.062
12.158 0.295 0.009 7.145
2.175 2.350 0.928 2.140
8.572 0.360 0.107 6.017
3.727 0.021 0.009 5.908
3.236 0.024 0.121 3.255
0.525 0.324 0.867 3.604
0.591 4.527 5.719 5.529
3.212 10.876 26.584 5.409
0.641 10.516 12.721 0.245
2.252 2.791 0.288 3.610
14.014 6.475 11.750 7.129
17.808 6.811 9.360 1.708
0.805 6.021 0.683 0.178
0.585 6.981 4.861 0.667
1.204 0.707 0.505 0.347
0.767 0.415 0.399 0.486
1.365 0.539 0.124 1.710
0.802 0.301 0.224 1.225
7.175 3.136 1.682 6.668
1.407 2.116 1.780 5.945
0.832 4.341 6.178 0.296
9.835 13.995 7.123 16.060
4.933 6.964 7.397 6.306
0.446 0.856 0.291 0.078
0.953 0.045 0.291 1.096
1.289 2.837 1.012 3.028
1.262 1.063 0.405 5.388
1.389 0.717 0.256 1.160
4.979 0.586 0.551 6.928
2.548 1.706 0.425 7.078
5.167 2.763 0.548 6.358
0.413 3.606 10.225 8.658
0.478 6.775 3.281 3.313
4.330 4.130 3.634 4.375
4.857 3.413 1.896 3.389
8.282 0.183 0.116 4.310
6.096 1.152 0.006 4.310
2.838 0.402 0.024 3.472
3.265 3.762 1.500 7.971
4.898 3.473 0.326 6.247
4.940 0.054 0.203 11.592
0.445 0.007 0.067 0.408
0.664 0.000 0.000 0.167
0.059 0.059 0.000 0.149
1.679 0.061 0.075 0.422
0.606 0.007 0.004 0.376
1.064 0.200 0.283 1.371
7.119 0.135 0.019 6.013
0.720 0.071 0.144 0.619
0.518 0.017 0.108 0.844
0.768 0.180 0.306 0.945
5.105 0.578 0.482 0.382
6.503 0.815 0.438 7.231
2.644 3.552 0.612 5.678
0.671 9.967 4.106 7.917
3.604 0.519 0.115 13.787
5.305 0.920 0.347 8.215
2.154 14.691 1.295 8.273
0.262 0.195 0.814 1.186
1.177 0.164 0.449 0.628
0.590 0.608 0.211 0.479
0.154 0.027 0.015 0.365
0.475 0.191 0.089 0.102
0.599 0.009 0.182 0.166
2.373 0.210 0.611 0.603
5.617 1.115 1.525 2.660
2.682 0.209 0.269 0.051
3.126 0.002 0.002 0.650
0.101 0.000 0.000 0.000
0.013 0.004 0.006 0.000
0.001 0.604 0.039 0.001
1.244 0.892 0.587 0.032
2.614 0.909 0.260 0.290
3.164 0.025 0.059 0.095
1.060 0.488 0.241 0.004
0.747 0.727 0.313 0.003
0.102 0.082 0.122 0.002
0.036 0.027 0.563 0.001
0.185 1.285 0.785 0.001
5.953 2.394 27.080 0.079
0.801 9.723 5.306 4.638
0.623 1.417 5.398 1.996
5.345 3.014 0.916 6.828
1.634 0.007 0.001 0.357
0.424 0.388 0.020 0.025
2.385 0.024 0.066 0.001
2.247 0.175 0.201 0.001
0.182 0.352 1.425 0.000
0.019 0.238 0.827 0.001
0.012 0.329 0.169 0.092
0.975 4.787 11.652 0.032
0.287 0.751 1.019 0.275
0.599 0.234 0.135 1.167
0.515 0.341 0.913 1.400
2.779 4.695 14.678 0.921
0.832 0.141 0.902 0.004
16.456 0.004 0.001 0.043
1.136 0.001 0.006 0.024
0.974 0.026 0.011 0.041
0.740 0.001 0.001 0.036
0.285 0.021 0.087 0.000
0.323 0.029 0.168 0.002
1.423 0.024 0.119 0.001
2.135 0.038 0.137 0.005
0.655 0.003 0.011 0.129
0.095 0.005 0.183 0.001
0.000 0.054 0.082 0.000
0.361 0.105 0.306 0.001
0.130 0.001 0.017 0.001
0.041 0.003 0.003 0.003
0.274 0.007 0.041 0.000
0.001 0.042 0.061 0.001
1.016 0.042 0.118 0.003
2.611 0.326 0.121 0.003
0.069 0.056 0.180 0.002
0.671 0.041 0.223 0.000
0.931 0.000 0.001 0.000
0.034 0.091 0.294 0.000
0.351 0.184 0.391 0.002
0.155 0.025 0.313 0.041
3.925 0.001 0.010 0.001
0.253 0.011 0.032 0.000
0.343 0.130 0.164 0.000
0.206 0.060 0.154 0.014
0.062 0.019 0.030 0.046
3.161 1.808 0.215 2.300
2.910 3.760 0.513 0.481
2.502 0.278 0.086 0.068
0.235 0.289 0.201 0.004
0.027 0.390 0.196 0.002
12.275 0.329 0.348 0.033
1.989 5.535 3.013 0.124
2.450 0.647 0.615 11.390
8.432 0.149 0.029 8.211
0.042 0.000 0.000 0.000
0.001 0.003 0.002 0.001
0.092 0.020 0.085 0.066
0.236 0.002 0.002 0.000
2.513 0.015 0.032 0.003
0.581 0.043 0.001 0.005
3.666 0.022 0.105 0.000
10.708 0.029 0.112 0.842
1.148 0.159 0.193 0.129
6.373 0.364 0.072 0.437
4.565 0.750 0.243 0.363
4.503 1.353 1.318 0.049
0.748 3.051 2.143 4.661
3.295 0.218 0.276 0.266
6.537 0.011 0.333 5.230
2.226 2.584 0.798 1.170
4.472 1.256 0.056 16.786
5.808 0.011 0.322 1.227
1.071 1.769 0.661 0.797
9.541 0.027 0.087 0.656
2.245 0.023 0.109 0.203
5.917 0.070 0.147 0.054
1.005 0.044 0.212 0.114
0.130 0.019 0.153 0.150
0.251 0.046 0.101 0.031
5.713 8.374 7.900 4.178
1.587 6.675 7.564 5.073
11.031 9.773 12.119 6.888
9.768 0.001 0.009 11.845
5.321 0.002 0.002 1.193
2.940 0.157 0.028 0.312
1.063 1.699 0.677 0.392
5.892 2.530 0.298 1.501
4.484 1.850 1.306 13.451
0.328 0.931 0.017 0.997
10.552 4.498 1.664 4.233
12.529 12.127 15.234 7.058
5.859 9.331 15.179 12.831
14.351 10.066 3.779 18.618
8.193 1.152 1.951 3.167
3.143 0.149 0.223 0.364
5.455 0.119 0.089 0.638
0.356 0.009 0.036 0.414
0.324 0.001 0.058 1.191
2.213 0.006 0.120 0.218
0.926 0.000 0.230 0.000
