date,price_eur_m3
1950-01-01,0.01364684
1950-01-02,0.01367209
1950-01-03,0.01369650
1950-01-04,0.01372000
1950-01-05,0.01374259
1950-01-06,0.01376427
1950-01-07,0.01378511
1950-01-08,0.01380498
1950-01-09,0.01382400
1950-01-10,0.01384204
1950-01-11,0.01385918
1950-01-12,0.01387541
1950-01-13,0.01389072
1950-01-14,0.01390506
1950-01-15,0.01391842
1950-01-16,0.01393087
1950-01-17,0.01394241
1950-01-18,0.01395297
1950-01-19,0.01396255
1950-01-20,0.01397115
1950-01-21,0.01397885
1950-01-22,0.01398556
1950-01-23,0.01399130
1950-01-24,0.01399605
1950-01-25,0.01399990
1950-01-26,0.01400270
1950-01-27,0.01400458
1950-01-28,0.01400542
1950-01-29,0.01400535
1950-01-30,0.01400431
1950-01-31,0.01400228
1950-02-01,0.01399927
1950-02-02,0.01399528
1950-02-03,0.01399039
1950-02-04,0.01398444
1950-02-05,0.01397759
1950-02-06,0.01396975
1950-02-07,0.01396094
1950-02-08,0.01395122
1950-02-09,0.01394045
1950-02-10,0.01392884
1950-02-11,0.01391618
1950-02-12,0.01390261
1950-02-13,0.01388813
1950-02-14,0.01387268
1950-02-15,0.01385631
1950-02-16,0.01383904
1950-02-17,0.01382078
1950-02-18,0.01380162
1950-02-19,0.01378155
1950-02-20,0.01376063
1950-02-21,0.01373874
1950-02-22,0.01371601
1950-02-23,0.01369237
1950-02-24,0.01366782
1950-02-25,0.01364243
1950-02-26,0.01361614
1950-02-27,0.01358907
1950-02-28,0.01356109
1950-03-01,0.01353228
1950-03-02,0.01350262
1950-03-03,0.01347220
1950-03-04,0.01344087
1950-03-05,0.01340883
1950-03-06,0.01337596
1950-03-07,0.01334225
1950-03-08,0.01330784
1950-03-09,0.01327266
1950-03-10,0.01323664
1950-03-11,0.01319999
1950-03-12,0.01316250
1950-03-13,0.01312439
1950-03-14,0.01308550
1950-03-15,0.01304591
1950-03-16,0.01300563
1950-03-17,0.01296471
1950-03-18,0.01292310
1950-03-19,0.01288085
1950-03-20,0.01283798
1950-03-21,0.01279448
1950-03-22,0.01275034
1950-03-23,0.01270558
1950-03-24,0.01266026
1950-03-25,0.01261438
1950-03-26,0.01256794
1950-03-27,0.01252094
1950-03-28,0.01247338
1950-03-29,0.01242533
1950-03-30,0.01237679
1950-03-31,0.01232776
1950-04-01,0.01227825
1950-04-02,0.01222824
1950-04-03,0.01217781
1950-04-04,0.01212697
1950-04-05,0.01207570
1950-04-06,0.01202401
1950-04-07,0.01197198
1950-04-08,0.01191952
1950-04-09,0.01186672
1950-04-10,0.01181363
1950-04-11,0.01176020
1950-04-12,0.01170641
1950-04-13,0.01165242
1950-04-14,0.01159808
1950-04-15,0.01154352
1950-04-16,0.01148869
1950-04-17,0.01143365
1950-04-18,0.01137839
1950-04-19,0.01132293
1950-04-20,0.01126733
1950-04-21,0.01121152
1950-04-22,0.01115556
1950-04-23,0.01109954
1950-04-24,0.01104331
1950-04-25,0.01098708
1950-04-26,0.01093070
1950-04-27,0.01087433
1950-04-28,0.01081789
1950-04-29,0.01076138
1950-04-30,0.01070487
1950-05-01,0.01064843
1950-05-02,0.01059198
1950-05-03,0.01053554
1950-05-04,0.01047917
1950-05-05,0.01042287
1950-05-06,0.01036664
1950-05-07,0.01031054
1950-05-08,0.01025459
1950-05-09,0.01019871
1950-05-10,0.01014304
1950-05-11,0.01008757
1950-05-12,0.01003225
1950-05-13,0.00997714
1950-05-14,0.00992223
