date,river_discharge_m3s,quality_flag
2005-01-01,686.438720921998,stub
2005-01-02,700.6439363297108,stub
2005-01-03,705.6709634662166,stub
2005-01-04,658.8350919743655,stub
2005-01-05,685.2272965643167,stub
2005-01-06,649.2797523068105,stub
2005-01-07,655.6605861205899,stub
2005-01-08,650.1793021747699,stub
2005-01-09,606.450505596893,stub
2005-01-10,651.2442154411256,stub
2005-01-11,679.130334855985,stub
2005-01-12,614.8040355502786,stub
2005-01-13,607.9403680728219,stub
2005-01-14,618.9528569555648,stub
2005-01-15,615.4034222373595,stub
2005-01-16,609.3116623309651,stub
2005-01-17,638.8232189580149,stub
2005-01-18,649.8233291351653,stub
2005-01-19,615.703353311269,stub
2005-01-20,615.2894113664868,stub
2005-01-21,610.57244390001,stub
2005-01-22,550.8551687008024,stub
2005-01-23,558.0020440635043,stub
2005-01-24,586.862229946439,stub
2005-01-25,563.8184321766691,stub
2005-01-26,594.3348669388827,stub
2005-01-27,641.1451019342667,stub
2005-01-28,598.1233284449116,stub
2005-01-29,559.4934284338256,stub
2005-01-30,532.383957910077,stub
2005-01-31,570.4451105660444,stub
