date,river_discharge_m3s,quality_flag
2005-01-01,646.873078011009,stub
2005-01-02,592.6755475885602,stub
2005-01-03,662.1068811575273,stub
2005-01-04,606.5879092426812,stub
2005-01-05,646.4188098995028,stub
2005-01-06,627.6572565684613,stub
2005-01-07,601.8108359294771,stub
2005-01-08,581.1077452695589,stub
2005-01-09,629.6971758208285,stub
2005-01-10,560.588885741037,stub
2005-01-11,578.0467198078825,stub
2005-01-12,629.9338864654341,stub
2005-01-13,501.24918232091204,stub
2005-01-14,576.8265381599014,stub
2005-01-15,570.0563184844573,stub
2005-01-16,532.6418873145363,stub
2005-01-17,559.7860946730789,stub
2005-01-18,518.5212733027004,stub
2005-01-19,532.2532934208668,stub
2005-01-20,553.649966082707,stub
2005-01-21,526.4404912318454,stub
2005-01-22,552.5279560110681,stub
2005-01-23,511.63348940806384,stub
2005-01-24,569.0865685354697,stub
2005-01-25,481.7553740318065,stub
2005-01-26,476.92682759858616,stub
2005-01-27,499.07447863070877,stub
2005-01-28,523.5235692684728,stub
2005-01-29,497.8350498787498,stub
2005-01-30,481.92245675821806,stub
2005-01-31,469.8610788686712,stub
