date,river_discharge_m3s,quality_flag
2005-01-01,456.38720332915784,stub
2005-01-02,424.33138789051617,stub
2005-01-03,434.22244346771777,stub
2005-01-04,451.2236121324109,stub
2005-01-05,473.09278117613115,stub
2005-01-06,474.36195545708495,stub
2005-01-07,406.1113506513916,stub
2005-01-08,436.6347826334829,stub
2005-01-09,479.9090648251658,stub
2005-01-10,441.248539390029,stub
2005-01-11,412.64190724373793,stub
2005-01-12,421.916724126246,stub
2005-01-13,453.1985885647285,stub
2005-01-14,394.40679841525855,stub
2005-01-15,446.03567300957855,stub
2005-01-16,448.20386398658593,stub
2005-01-17,425.3068320680061,stub
2005-01-18,391.87625843846655,stub
2005-01-19,408.3477748250604,stub
2005-01-20,411.1971591330772,stub
2005-01-21,416.7783050526126,stub
2005-01-22,412.0915806560575,stub
2005-01-23,366.66900291278245,stub
2005-01-24,400.14652485726424,stub
2005-01-25,378.48792139605666,stub
2005-01-26,372.9014674344833,stub
2005-01-27,388.99678009330637,stub
2005-01-28,413.6778830029408,stub
2005-01-29,361.70301180133345,stub
2005-01-30,389.23749790428815,stub
2005-01-31,368.02642591367294,stub
