period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,42795.00000011904,1584,1257,2193,8482.499999822103,2795.999999940481,5686.499999881622,3817.7454545932255,38294.00000017857,4612.346984547471,4.612346984547471,524,38818.00000017857,38818.00000017857,0,2504.9880716826992
1,30,60,30,59289.00000018637,1800,3437,13,8482.499999822103,5326.000000005802,3156.4999998163007,7592.545454753066,47242.000000128115,5445.725908189324,5.445725908189324,840,48082.000000128115,48082.000000128115,0,2930.2831630791015
2,60,90,30,63214.000000234846,1800,3450,0,8482.499999822103,7230.000000000001,1252.4999998221006,10697.45454570839,49054.000000166445,5877.79710055168,5.87779710055168,1604.0000001208396,50658.000000287284,50658.000000287284,0,3172.64902611299
