date,precip_mm_day,air_temp_c,soil_moisture_mm,actual_et_mm_day,runoff_mm_day,runoff_m3s,runoff_m3_day
1961-01-01,0.0,28.578161805555578,75.0,0.0,0.0,0.0,0.000000
1961-01-02,0.0017166136999999,26.371624444444464,68.20617429968166,3.2057436666666694,3.589798647351667,4881.544480061891,421765443.077347
1961-01-03,0.0013016447113,25.61081875000002,61.86006047529831,3.091622812500003,3.2557926565946484,4427.35045397344,382523079.223305
1961-01-04,0.0,25.205254027777794,55.88780875257506,3.030788104166669,2.9414636185565826,3999.91389518765,345592560.544213
1961-01-05,0.0008702277809999999,24.64391763888891,50.29498676779659,2.9465876458333367,2.6471045667261364,3599.6332817668263,311008315.544654
1961-01-06,0.00039765126,25.4224990277778,44.870409086645424,3.06337485416667,2.361600478244496,3211.3939836683553,277464440.188946
1961-01-07,0.000441074381,26.668759444444465,39.53950943214177,3.2503139166666695,2.081026812217988,2829.859261197817,244499840.167491
1961-01-08,0.0013947688974391334,26.826994027777797,34.453512342028915,3.2740491041666693,1.8133427548436272,2465.8523179002054,213049640.266578
1961-01-09,0.002146505051,26.174989305555574,29.71543992868425,3.176248395833336,1.563970522562329,2126.746489535278,183750896.695848
1961-01-10,0.000435113801,26.095577222222243,25.223961536194317,3.1643365833333363,1.3275769229575958,1805.2894985912953,155977012.678288
1961-01-11,0.0025894744199999,26.551289166666688,20.894164753833596,3.2326933750000033,1.0996928817807157,1495.404128245559,129202916.680416
1961-01-12,0.002365335365,26.77779958333336,16.74836714411366,3.2666699375000037,0.8814930075849295,1198.6876558003862,103566613.461153
1961-01-13,0.00173252443,26.284663333333356,12.879530160116476,3.1926995000000034,0.6778700084271829,921.793371413307,79642947.290110
1961-01-14,0.0021027311664333333,26.59258305555558,9.160608161302093,3.2388874583333367,0.48213727164747855,655.628565345628,56646308.045862
1961-01-15,0.0017182015457201333,27.196328333333355,5.541233257205421,3.3294492500000032,0.29164385564239054,396.5883865674128,34265236.599424
1961-01-16,0.00129780028,27.629371388888913,2.0407190816944794,3.3944057083333368,0.10740626745760418,146.05511994900365,12619162.363594
1961-01-17,0.15488266811666665,27.968760000000017,0.0,2.195601749811146,0.0,0.0,0.000000
1961-01-18,0.08423129999999997,28.091717361111137,0.0,0.08423129999999997,0.0,0.0,0.000000
1961-01-19,0.04993379,28.511191388888914,0.0,0.04993379,0.0,0.0,0.000000
1961-01-20,0.0013078792,28.23885305555558,0.0,0.0013078792,0.0,0.0,0.000000
1961-01-21,0.0025575560814868,27.186366944444472,0.0,0.0025575560814868,0.0,0.0,0.000000
1961-01-22,0.0021457672041736,27.010111111111133,0.0,0.0021457672041736,0.0,0.0,0.000000
1961-01-23,0.0004351138,26.951350694444468,0.0,0.0004351138,0.0,0.0,0.000000
1961-01-24,0.0004351138,27.11393194444446,0.0,0.0004351138,0.0,0.0,0.000000
1961-01-25,0.0008624463630634,28.42624625000002,0.0,0.0008624463630634,0.0,0.0,0.000000
1961-01-26,0.0008523463,29.766667222222242,0.0,0.0008523463,0.0,0.0,0.000000
1961-01-27,0.0,29.555482222222242,0.0,0.0,0.0,0.0,0.000000
1961-01-28,0.00042617322,29.14613583333335,0.0,0.00042617322,0.0,0.0,0.000000
1961-01-29,0.0004351138,28.878028333333358,0.0,0.0004351138,0.0,0.0,0.000000
1961-01-30,0.00129954782,29.034397916666688,0.0,0.00129954782,0.0,0.0,0.000000
1961-01-31,0.0034414550076666667,28.92767347222224,0.0,0.0034414550076666667,0.0,0.0,0.000000
1961-02-01,0.0038847123530000006,26.983909722222247,0.0,0.0038847123530000006,0.0,0.0,0.000000
1961-02-02,0.0021398068473736,24.42498555555558,0.0,0.0021398068473736,0.0,0.0,0.000000
1961-02-03,0.014210740753666665,24.700126805555573,0.0,0.014210740753666665,0.0,0.0,0.000000
1961-02-04,0.0090443303904433,26.322361111111135,0.0,0.0090443303904433,0.0,0.0,0.000000
1961-02-05,0.1435279882125333,27.476780972222244,0.0,0.1435279882125333,0.0,0.0,0.000000
1961-02-06,0.08177309693733334,27.42556125000002,0.0,0.08177309693733334,0.0,0.0,0.000000
1961-02-07,0.000248352684,27.520312222222245,0.0,0.000248352684,0.0,0.0,0.000000
1961-02-08,0.016655522826666668,26.708716944444472,0.0,0.016655522826666668,0.0,0.0,0.000000
1961-02-09,0.030989448336666666,27.259725833333352,0.0,0.030989448336666666,0.0,0.0,0.000000
1961-02-10,0.13527125713246227,27.015610972222248,0.0,0.13527125713246227,0.0,0.0,0.000000
1961-02-11,0.021399057833999997,26.202908750000024,0.0,0.021399057833999997,0.0,0.0,0.000000
1961-02-12,0.1433740066,26.073485000000023,0.0,0.1433740066,0.0,0.0,0.000000
1961-02-13,0.004733602173999966,25.4694827777778,0.0,0.004733602173999966,0.0,0.0,0.000000
1961-02-14,0.0011463959766666667,25.604870972222244,0.0,0.0011463959766666667,0.0,0.0,0.000000
1961-02-15,0.00129491082,25.30563805555558,0.0,0.00129491082,0.0,0.0,0.000000
1961-02-16,0.0008736063390000001,25.43036041666669,0.0,0.0008736063390000001,0.0,0.0,0.000000
1961-02-17,0.0017289114541368,24.594930555555578,0.0,0.0017289114541368,0.0,0.0,0.000000
1961-02-18,0.0,25.4679977777778,0.0,0.0,0.0,0.0,0.000000
1961-02-19,0.00085830686,25.549834166666688,0.0,0.00085830686,0.0,0.0,0.000000
1961-02-20,0.000435113801,25.88996763888891,0.0,0.000435113801,0.0,0.0,0.000000
1961-02-21,0.0004351138568434,25.4222902777778,0.0,0.0004351138568434,0.0,0.0,0.000000
1961-02-22,0.0008702277768434002,25.65941625000002,0.0,0.0008702277768434002,0.0,0.0,0.000000
1961-02-23,0.0,27.249987777777804,0.0,0.0,0.0,0.0,0.000000
1961-02-24,0.14019238517504665,27.489369722222246,0.0,0.14019238517504665,0.0,0.0,0.000000
1961-02-25,0.09947302476320001,27.725361944444472,0.0,0.09947302476320001,0.0,0.0,0.000000
1961-02-26,0.1479962439908,27.584944305555577,0.0,0.1479962439908,0.0,0.0,0.000000
1961-02-27,0.006367879693333267,26.81335736111113,0.0,0.006367879693333267,0.0,0.0,0.000000
1961-02-28,0.23509426096053335,26.58151875000002,0.0,0.23509426096053335,0.0,0.0,0.000000
1961-03-01,0.0,26.400162916666687,0.0,0.0,0.0,0.0,0.000000
1961-03-02,0.0008626206499999,26.36850125000002,0.0,0.0008626206499999,0.0,0.0,0.000000
1961-03-03,0.0017176224118999998,28.08219805555558,0.0,0.0017176224118999998,0.0,0.0,0.000000
1961-03-04,0.0026702136122033,30.418700694444464,0.0,0.0026702136122033,0.0,0.0,0.000000
1961-03-05,0.0,31.326348888888912,0.0,0.0,0.0,0.0,0.000000
1961-03-06,0.0,31.201976111111147,0.0,0.0,0.0,0.0,0.000000
1961-03-07,0.0008803116259999,31.42071486111114,0.0,0.0008803116259999,0.0,0.0,0.000000
1961-03-08,0.000888109071,31.653330694444467,0.0,0.000888109071,0.0,0.0,0.000000
1961-03-09,0.00171871192,31.243199027777802,0.0,0.00171871192,0.0,0.0,0.000000
1961-03-10,0.0017272788076868,30.832218750000024,0.0,0.0017272788076868,0.0,0.0,0.000000
1961-03-11,0.0,30.647639027777803,0.0,0.0,0.0,0.0,0.000000
1961-03-12,0.00087022772,28.432475833333356,0.0,0.00087022772,0.0,0.0,0.000000
1961-03-13,4.967053666666667e-05,28.313523750000027,0.0,4.967053666666667e-05,0.0,0.0,0.000000
1961-03-14,0.0,28.489633888888914,0.0,0.0,0.0,0.0,0.000000
1961-03-15,0.0012964178449999,28.122411250000017,0.0,0.0012964178449999,0.0,0.0,0.000000
1961-03-16,0.0004351138,27.685785000000024,0.0,0.0004351138,0.0,0.0,0.000000
1961-03-17,0.054971181541866664,28.168648611111134,0.0,0.054971181541866664,0.0,0.0,0.000000
1961-03-18,0.008954605241533332,29.5293927777778,0.0,0.008954605241533332,0.0,0.0,0.000000
1961-03-19,0.005540251572666633,29.79266791666669,0.0,0.005540251572666633,0.0,0.0,0.000000
1961-03-20,0.001018742601,29.717478333333357,0.0,0.001018742601,0.0,0.0,0.000000
1961-03-21,9.934107666666667e-06,28.07808375000003,0.0,9.934107666666667e-06,0.0,0.0,0.000000
1961-03-22,0.0012961156646,26.785407777777802,0.0,0.0012961156646,0.0,0.0,0.000000
